Driver	DateTimeStart	DateTimeEnd	Duration	Activity	Week	Day	DayType	Sequence	BreakType	Token	Legal	Cluster	ZenoInfo
driver6	2017-05-01 19:38:00	2017-05-01 19:40:00	2.0	Driving	1.0	3.0	edd	third	split_2	A	1	4	
driver6	2017-05-01 19:40:00	2017-06-01 08:13:00	753.0	Break	1.0	3.0	edd	third	split_2	DR_T1	1	4	
driver6	2017-10-01 16:26:00	2017-10-01 16:31:00	5.0	Driving	2.0	7.0	none	none	uninterrupted	A	0	4	
driver6	2017-10-01 16:31:00	2017-10-01 16:36:00	5.0	Break	2.0	7.0	none	none	uninterrupted	B_T0	0	4	
driver6	2017-10-01 16:36:00	2017-10-01 16:38:00	2.0	Driving	2.0	7.0	none	none	uninterrupted	A	0	4	
driver6	2017-10-01 16:38:00	2017-10-01 17:42:00	64.0	Break	2.0	7.0	none	none	uninterrupted	B_T1	0	4	
driver6	2017-10-01 17:42:00	2017-10-01 17:43:00	1.0	Other	2.0	7.0	none	none	none	A	0	4	
driver6	2017-10-01 17:43:00	2017-10-01 18:44:00	61.0	Driving	2.0	7.0	none	none	none	A	0	4	
driver6	2017-10-01 18:44:00	2017-10-01 18:46:00	2.0	Other	2.0	7.0	none	none	none	A	0	4	
driver6	2017-10-01 18:46:00	2017-10-01 19:31:00	45.0	Driving	2.0	7.0	none	none	none	A	0	4	
driver6	2017-10-01 19:31:00	2017-10-01 19:38:00	7.0	Break	2.0	7.0	none	none	none	B_T0	0	4	
driver6	2017-10-01 19:38:00	2017-10-01 20:56:00	78.0	Driving	2.0	7.0	none	none	none	A	0	4	
driver6	2017-10-01 20:56:00	2017-10-01 21:23:00	27.0	Break	2.0	7.0	none	none	none	none	0	4	
driver6	2017-10-01 21:23:00	2017-10-01 21:24:00	1.0	Driving	2.0	7.0	ndd	first	split_1	A	1	4	
driver6	2017-10-01 21:24:00	2017-10-01 21:46:00	22.0	Break	2.0	7.0	ndd	first	split_1	B_T2	1	4	
driver6	2017-10-01 21:46:00	2017-10-01 22:14:00	28.0	Driving	2.0	7.0	ndd	first	split_2	A	1	4	
driver6	2017-10-01 22:14:00	2017-10-01 22:46:00	32.0	Break	2.0	7.0	ndd	first	split_2	B_T3	1	4	
driver6	2017-10-01 22:46:00	2017-10-01 23:38:00	52.0	Driving	2.0	7.0	ndd	second	split_1	A	1	4	
driver6	2017-10-01 23:38:00	2017-10-01 23:40:00	2.0	Other	2.0	7.0	ndd	second	split_1	A	1	4	
driver6	2017-10-01 23:40:00	2017-11-01 01:16:00	96.0	Driving	2.0	7.0	ndd	second	split_1	A	1	4	
driver6	2017-11-01 01:16:00	2017-11-01 01:20:00	4.0	Other	2.0	7.0	ndd	second	split_1	A	1	4	
driver6	2017-11-01 01:20:00	2017-11-01 01:24:00	4.0	Break	2.0	7.0	ndd	second	split_1	B_T0	1	4	
driver6	2017-11-01 01:24:00	2017-11-01 01:26:00	2.0	Driving	2.0	7.0	ndd	second	split_1	A	1	4	
driver6	2017-11-01 01:26:00	2017-11-01 01:30:00	4.0	Other	2.0	7.0	ndd	second	split_1	A	1	4	
driver6	2017-11-01 01:30:00	2017-11-01 01:32:00	2.0	Driving	2.0	7.0	ndd	second	split_1	A	1	4	
driver6	2017-11-01 01:32:00	2017-11-01 01:35:00	3.0	Break	2.0	7.0	ndd	second	split_1	B_T0	1	4	
driver6	2017-11-01 01:35:00	2017-11-01 01:36:00	1.0	Driving	2.0	7.0	ndd	second	split_1	A	1	4	
driver6	2017-11-01 01:36:00	2017-11-01 01:40:00	4.0	Break	2.0	7.0	ndd	second	split_1	B_T0	1	4	
driver6	2017-11-01 01:40:00	2017-11-01 01:42:00	2.0	Driving	2.0	7.0	ndd	second	split_1	A	1	4	
driver6	2017-11-01 01:42:00	2017-11-01 02:55:00	73.0	Break	2.0	7.0	ndd	second	split_1	B_T2	1	4	
driver6	2017-11-01 02:55:00	2017-11-01 02:57:00	2.0	Other	2.0	7.0	ndd	second	split_2	A	1	4	
driver6	2017-11-01 02:57:00	2017-11-01 03:28:00	31.0	Driving	2.0	7.0	ndd	second	split_2	A	1	4	
driver6	2017-11-01 03:28:00	2017-11-01 03:32:00	4.0	Other	2.0	7.0	ndd	second	split_2	A	1	4	
driver6	2017-11-01 03:32:00	2017-11-01 03:41:00	9.0	Driving	2.0	7.0	ndd	second	split_2	A	1	4	
driver6	2017-11-01 03:41:00	2017-11-01 12:51:00	550.0	Break	2.0	7.0	ndd	second	split_2	DR_T2	1	4	
driver6	2017-12-01 09:37:00	2017-12-01 11:53:00	136.0	Driving	2.0	10.0	none	none	none	A	0	4	
driver6	2017-12-01 11:53:00	2017-12-01 11:57:00	4.0	Break	2.0	10.0	none	none	none	B_T0	0	4	
