Driver,Duration,Activity,Week,Day,DayType,Sequence,BreakType,Token,Legal,Infraction
driver121,1,Break,1.0,1,ndd,first,split_1,B_T0,1,no
driver121,2,Break,1.0,1,ndd,first,split_1,B_T0,1,no
driver121,1,Driving,1.0,1,ndd,first,split_1,A,1,no
driver121,6,Other,1.0,1,ndd,first,split_1,A,1,no
driver121,3,Driving,1.0,1,ndd,first,split_1,A,1,no
driver121,10,Other,1.0,1,ndd,first,split_1,A,1,no
driver121,1,Driving,1.0,1,ndd,first,split_1,A,1,no
driver121,19,Other,1.0,1,ndd,first,split_1,A,1,no
driver121,3,Driving,1.0,1,ndd,first,split_1,A,1,no
driver121,7,Other,1.0,1,ndd,first,split_1,A,1,no
driver121,4,Driving,1.0,1,ndd,first,split_1,A,1,no
driver121,4,Other,1.0,1,ndd,first,split_1,A,1,no
driver121,76,Driving,1.0,1,ndd,first,split_1,A,1,no
driver121,28,Break,1.0,1,ndd,first,split_1,B_T2,1,no
driver121,177,Driving,1.0,1,ndd,first,split_2,A,1,no
driver121,154,Idle,1.0,1,ndd,first,split_2,I,1,no
driver121,1,Break,1.0,1,ndd,first,split_2,B_T0,1,no
driver121,1,Break,1.0,1,ndd,first,split_2,B_T0,1,no
driver121,20,Driving,1.0,1,ndd,first,split_2,A,1,no
driver121,3,Other,1.0,1,ndd,first,split_2,A,1,no
driver121,2,Driving,1.0,1,ndd,first,split_2,A,1,no
driver121,3,Other,1.0,1,ndd,first,split_2,A,1,no
driver121,19,Driving,1.0,1,ndd,first,split_2,A,1,no
driver121,4,Other,1.0,1,ndd,first,split_2,A,1,no
driver121,127,Break,1.0,1,ndd,first,split_2,B_T3,1,no
driver121,93,Driving,1.0,1,ndd,second,uninterrupted,A,1,no
driver121,4,Other,1.0,1,ndd,second,uninterrupted,A,1,no
driver121,2,Driving,1.0,1,ndd,second,uninterrupted,A,1,no
driver121,3,Other,1.0,1,ndd,second,uninterrupted,A,1,no
driver121,8,Driving,1.0,1,ndd,second,uninterrupted,A,1,no
driver121,4,Other,1.0,1,ndd,second,uninterrupted,A,1,no
driver121,1,Driving,1.0,1,ndd,second,uninterrupted,A,1,no
driver121,27,Other,1.0,1,ndd,second,uninterrupted,A,1,no
driver121,8,Driving,1.0,1,ndd,second,uninterrupted,A,1,no
driver121,799,Break,1.0,1,ndd,second,uninterrupted,DR_T1,1,no
driver121,29,Driving,1.0,2,none,none,none,A,0,unidentified
driver121,24,Break,1.0,2,none,none,none,none,0,unidentified
driver121,206,Driving,1.0,2,ndd,unique,split_1,A,1,no
driver121,23,Break,1.0,2,ndd,unique,split_1,B_T2,1,no
driver121,2,Driving,1.0,2,ndd,unique,split_2,A,1,no
driver121,1,Break,1.0,2,ndd,unique,split_2,B_T0,1,no
driver121,7,Break,1.0,2,ndd,unique,split_2,B_T0,1,no
driver121,78,Idle,1.0,2,ndd,unique,split_2,I,1,no
driver121,543,Break,1.0,2,ndd,unique,split_2,DR_T2,1,no
driver121,6,Idle,1.0,3,none,none,uninterrupted,I,0,unidentified
driver121,49,Break,1.0,3,none,none,uninterrupted,B_T1,0,unidentified
driver121,1,Idle,1.0,3,none,none,split_1,I,0,unidentified
driver121,44,Break,1.0,3,none,none,split_1,B_T2,0,unidentified
driver121,4,Idle,1.0,3,none,none,split_2,I,0,unidentified
driver121,36,Break,1.0,3,none,none,split_2,B_T3,0,unidentified
driver121,38,Idle,1.0,3,none,none,uninterrupted,I,0,unidentified
driver121,163,Break,1.0,3,none,none,uninterrupted,B_T1,0,unidentified
driver121,29,Idle,1.0,3,none,none,uninterrupted,I,0,unidentified
driver121,59,Break,1.0,3,none,none,uninterrupted,B_T1,0,unidentified
driver121,19,Idle,1.0,3,none,none,none,I,0,unidentified
driver121,13,Break,1.0,3,none,none,none,B_T0,0,unidentified
driver121,272,Idle,1.0,3,none,none,none,I,0,unidentified
driver121,1,Break,1.0,3,none,none,none,B_T0,0,unidentified
driver121,1,Break,1.0,3,none,none,none,B_T0,0,unidentified
driver121,152,Driving,1.0,3,none,none,none,A,0,unidentified
driver121,2,Other,1.0,3,none,none,none,A,0,unidentified
driver121,53,Driving,1.0,3,none,none,none,A,0,unidentified
driver121,20,Break,1.0,3,none,none,none,none,0,unidentified
driver121,51,Driving,1.0,3,ndd,unique,split_1,A,1,no
driver121,109,Idle,1.0,3,ndd,unique,split_1,I,1,no
driver121,23,Break,1.0,3,ndd,unique,split_1,B_T2,1,no
driver121,61,Idle,1.0,3,ndd,unique,split_2,I,1,no
driver121,456,Break,1.0,3,ndd,unique,split_2,DR_T3,1,no
driver121,211,Break,1.0,4,none,none,none,none,0,unidentified
