Driver,Duration,Activity,Week,Day,DayType,Sequence,BreakType,Token,Legal,Infraction
driver173,1,Driving,1.0,1,ndd,first,split_1,A,1,no
driver173,32,Break,1.0,1,ndd,first,split_1,B_T2,1,no
driver173,1,Other,1.0,1,ndd,first,split_2,A,1,no
driver173,236,Driving,1.0,1,ndd,first,split_2,A,1,no
driver173,46,Break,1.0,1,ndd,first,split_2,B_T3,1,no
driver173,79,Driving,1.0,1,ndd,second,split_1,A,1,no
driver173,2,Other,1.0,1,ndd,second,split_1,A,1,no
driver173,2,Driving,1.0,1,ndd,second,split_1,A,1,no
driver173,2,Other,1.0,1,ndd,second,split_1,A,1,no
driver173,3,Driving,1.0,1,ndd,second,split_1,A,1,no
driver173,16,Break,1.0,1,ndd,second,split_1,B_T2,1,no
driver173,2,Driving,1.0,1,ndd,second,split_2,A,1,no
driver173,2,Other,1.0,1,ndd,second,split_2,A,1,no
driver173,1,Driving,1.0,1,ndd,second,split_2,A,1,no
driver173,2,Other,1.0,1,ndd,second,split_2,A,1,no
driver173,1,Break,1.0,1,ndd,second,split_2,B_T0,1,no
driver173,9,Driving,1.0,1,ndd,second,split_2,A,1,no
driver173,9,Break,1.0,1,ndd,second,split_2,B_T0,1,no
driver173,3,Driving,1.0,1,ndd,second,split_2,A,1,no
driver173,8,Break,1.0,1,ndd,second,split_2,B_T0,1,no
driver173,1,Driving,1.0,1,ndd,second,split_2,A,1,no
driver173,180,Break,1.0,1,ndd,second,split_2,DR_T3,1,no
driver173,1,Driving,1.0,2,ndd,unique,split_1,A,1,no
driver173,35,Break,1.0,2,ndd,unique,split_1,B_T2,1,no
driver173,1,Driving,1.0,2,ndd,unique,split_2,A,1,no
driver173,2,Other,1.0,2,ndd,unique,split_2,A,1,no
driver173,205,Driving,1.0,2,ndd,unique,split_2,A,1,no
driver173,2,Break,1.0,2,ndd,unique,split_2,B_T0,1,no
driver173,1,Other,1.0,2,ndd,unique,split_2,A,1,no
driver173,545,Break,1.0,2,ndd,unique,split_2,DR_T4,1,no
driver173,7,Driving,1.0,3,ndd,first,split_1,A,1,no
driver173,10,Break,1.0,3,ndd,first,split_1,B_T0,1,no
driver173,2,Driving,1.0,3,ndd,first,split_1,A,1,no
driver173,6,Break,1.0,3,ndd,first,split_1,B_T0,1,no
driver173,7,Driving,1.0,3,ndd,first,split_1,A,1,no
driver173,64,Break,1.0,3,ndd,first,split_1,B_T2,1,no
driver173,1,Other,1.0,3,ndd,first,split_2,A,1,no
driver173,1,Driving,1.0,3,ndd,first,split_2,A,1,no
driver173,40,Break,1.0,3,ndd,first,split_2,B_T3,1,no
driver173,2,Other,1.0,3,ndd,second,split_1,A,1,no
driver173,37,Driving,1.0,3,ndd,second,split_1,A,1,no
driver173,3,Other,1.0,3,ndd,second,split_1,A,1,no
driver173,3,Break,1.0,3,ndd,second,split_1,B_T0,1,no
driver173,1,Driving,1.0,3,ndd,second,split_1,A,1,no
driver173,64,Break,1.0,3,ndd,second,split_1,B_T2,1,no
driver173,139,Driving,1.0,3,ndd,second,split_2,A,1,no
driver173,2,Break,1.0,3,ndd,second,split_2,B_T0,1,no
