Driver,Duration,Activity,Week,Day,DayType,Sequence,BreakType,Token,Legal,Infraction
driver164,3,Break,1.0,1,ndd,unique,split_1,B_T0,1,no
driver164,7,Other,1.0,1,ndd,unique,split_1,A,1,no
driver164,81,Driving,1.0,1,ndd,unique,split_1,A,1,no
driver164,27,Other,1.0,1,ndd,unique,split_1,A,1,no
driver164,22,Break,1.0,1,ndd,unique,split_1,B_T2,1,no
driver164,3,Other,1.0,1,ndd,unique,split_2,A,1,no
driver164,219,Break,1.0,1,ndd,unique,split_2,DR_T3,1,no
driver164,3,Driving,1.0,2,ndd,first,split_1,A,1,no
driver164,4,Other,1.0,2,ndd,first,split_1,A,1,no
driver164,6,Driving,1.0,2,ndd,first,split_1,A,1,no
driver164,6,Other,1.0,2,ndd,first,split_1,A,1,no
driver164,88,Driving,1.0,2,ndd,first,split_1,A,1,no
driver164,19,Break,1.0,2,ndd,first,split_1,B_T2,1,no
driver164,4,Other,1.0,2,ndd,first,split_2,A,1,no
driver164,30,Break,1.0,2,ndd,first,split_2,B_T3,1,no
driver164,10,Other,1.0,2,ndd,second,uninterrupted,A,1,no
driver164,100,Driving,1.0,2,ndd,second,uninterrupted,A,1,no
driver164,933,Break,1.0,2,ndd,second,uninterrupted,DR_T4,1,no
driver164,4,Other,1.0,3,none,none,none,A,0,unidentified
driver164,2,Driving,1.0,3,none,none,none,A,0,unidentified
driver164,26,Other,1.0,3,none,none,none,A,0,unidentified
driver164,3,Driving,1.0,3,none,none,none,A,0,unidentified
driver164,91,Other,1.0,3,none,none,none,A,0,unidentified
driver164,8,Driving,1.0,3,none,none,none,A,0,unidentified
driver164,6,Other,1.0,3,none,none,none,A,0,unidentified
driver164,47,Driving,1.0,3,none,none,none,A,0,unidentified
driver164,10,Break,1.0,3,none,none,none,B_T0,0,unidentified
driver164,9,Other,1.0,3,none,none,none,A,0,unidentified
driver164,179,Driving,1.0,3,none,none,none,A,0,unidentified
driver164,265,Idle,1.0,3,ndd,unique,uninterrupted,I,1,no
driver164,2,Other,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,1,Driving,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,14,Other,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,8,Driving,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,4,Other,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,9,Driving,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,2,Other,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,13,Driving,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,19,Other,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,36,Driving,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,4,Other,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,1,Driving,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,10,Other,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,2,Driving,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,2,Other,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,4,Driving,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,6,Other,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,159,Driving,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,4,Other,1.0,3,ndd,unique,uninterrupted,A,1,no
driver164,549,Break,1.0,3,ndd,unique,uninterrupted,DR_T2,1,no
driver164,1,Break,1.0,4,none,none,none,B_T0,0,unidentified
driver164,197,Idle,1.0,4,none,none,none,I,0,unidentified
driver164,16,Break,1.0,4,none,none,none,none,0,unidentified
driver164,38,Driving,1.0,4,ndd,unique,split_1,A,1,no
driver164,6,Other,1.0,4,ndd,unique,split_1,A,1,no
driver164,40,Driving,1.0,4,ndd,unique,split_1,A,1,no
driver164,21,Break,1.0,4,ndd,unique,split_1,B_T2,1,no
driver164,30,Driving,1.0,4,ndd,unique,split_2,A,1,no
driver164,2,Other,1.0,4,ndd,unique,split_2,A,1,no
driver164,132,Driving,1.0,4,ndd,unique,split_2,A,1,no
