Driver,Duration,Activity,Week,Day,DayType,Sequence,BreakType,Token,Legal,Infraction
driver77,1,Driving,1.0,1,ndd,unique,uninterrupted,A,1,no
driver77,9,Break,1.0,1,ndd,unique,uninterrupted,B_T0,1,no
driver77,76,Driving,1.0,1,ndd,unique,uninterrupted,A,1,no
driver77,2,Other,1.0,1,ndd,unique,uninterrupted,A,1,no
driver77,115,Driving,1.0,1,ndd,unique,uninterrupted,A,1,no
driver77,541,Break,1.0,1,ndd,unique,uninterrupted,DR_T2,1,no
driver77,3,Driving,1.0,2,none,none,none,A,0,unidentified
driver77,26,Break,1.0,2,none,none,none,none,0,unidentified
driver77,2,Driving,1.0,2,edd,first,split_1,A,1,no
driver77,2,Other,1.0,2,edd,first,split_1,A,1,no
driver77,27,Break,1.0,2,edd,first,split_1,B_T2,1,no
driver77,3,Other,1.0,2,edd,first,split_2,A,1,no
driver77,2,Break,1.0,2,edd,first,split_2,B_T0,1,no
driver77,106,Driving,1.0,2,edd,first,split_2,A,1,no
driver77,45,Break,1.0,2,edd,first,split_2,B_T3,1,no
driver77,87,Driving,1.0,2,edd,second,split_1,A,1,no
driver77,5,Other,1.0,2,edd,second,split_1,A,1,no
driver77,19,Driving,1.0,2,edd,second,split_1,A,1,no
driver77,15,Break,1.0,2,edd,second,split_1,B_T2,1,no
driver77,1,Other,1.0,2,edd,second,split_2,A,1,no
driver77,157,Driving,1.0,2,edd,second,split_2,A,1,no
driver77,31,Break,1.0,2,edd,second,split_2,B_T3,1,no
driver77,51,Driving,1.0,2,edd,third,split_1,A,1,no
driver77,16,Break,1.0,2,edd,third,split_1,B_T2,1,no
driver77,98,Driving,1.0,2,edd,third,split_2,A,1,no
driver77,2,Other,1.0,2,edd,third,split_2,A,1,no
driver77,5,Driving,1.0,2,edd,third,split_2,A,1,no
driver77,661,Break,1.0,2,edd,third,split_2,DR_T1,1,no
driver77,133,Driving,1.0,3,none,none,none,A,0,unidentified
driver77,15,Break,1.0,3,none,none,none,none,0,unidentified
driver77,48,Driving,1.0,3,edd,first,split_1,A,1,no
driver77,8,Break,1.0,3,edd,first,split_1,B_T0,1,no
driver77,4,Driving,1.0,3,edd,first,split_1,A,1,no
driver77,18,Break,1.0,3,edd,first,split_1,B_T2,1,no
driver77,71,Driving,1.0,3,edd,first,split_2,A,1,no
driver77,61,Break,1.0,3,edd,first,split_2,B_T3,1,no
driver77,140,Driving,1.0,3,edd,second,uninterrupted,A,1,no
driver77,45,Break,1.0,3,edd,second,uninterrupted,B_T1,1,no
driver77,17,Driving,1.0,3,edd,third,split_1,A,1,no
driver77,72,Break,1.0,3,edd,third,split_1,B_T2,1,no
driver77,26,Driving,1.0,3,edd,third,split_2,A,1,no
driver77,6,Break,1.0,3,edd,third,split_2,B_T0,1,no
driver77,20,Driving,1.0,3,edd,third,split_2,A,1,no
driver77,9,Other,1.0,3,edd,third,split_2,A,1,no
driver77,966,Break,1.0,3,edd,third,split_2,DR_T1,1,no
driver77,2,Driving,1.0,4,ndd,unique,uninterrupted,A,1,no
driver77,4,Other,1.0,4,ndd,unique,uninterrupted,A,1,no
driver77,3511,Break,1.0,4,ndd,unique,uninterrupted,WR_T1,1,no
