Driver,Duration,Activity,Week,Day,DayType,Sequence,BreakType,Token,Legal,Infraction
driver268,548,Break,1.0,1,ndd,unique,uninterrupted,DR_T2,1,no
driver268,2,Other,1.0,2,ndd,unique,uninterrupted,A,1,no
driver268,2,Driving,1.0,2,ndd,unique,uninterrupted,A,1,no
driver268,2,Other,1.0,2,ndd,unique,uninterrupted,A,1,no
driver268,147,Driving,1.0,2,ndd,unique,uninterrupted,A,1,no
driver268,5,Other,1.0,2,ndd,unique,uninterrupted,A,1,no
driver268,6,Driving,1.0,2,ndd,unique,uninterrupted,A,1,no
driver268,2,Other,1.0,2,ndd,unique,uninterrupted,A,1,no
driver268,5,Driving,1.0,2,ndd,unique,uninterrupted,A,1,no
driver268,3,Other,1.0,2,ndd,unique,uninterrupted,A,1,no
driver268,7,Driving,1.0,2,ndd,unique,uninterrupted,A,1,no
driver268,800,Break,1.0,2,ndd,unique,uninterrupted,DR_T1,1,no
driver268,2,Driving,1.0,3,edd,first,split_1,A,1,no
driver268,23,Other,1.0,3,edd,first,split_1,A,1,no
driver268,3,Driving,1.0,3,edd,first,split_1,A,1,no
driver268,5,Other,1.0,3,edd,first,split_1,A,1,no
driver268,24,Break,1.0,3,edd,first,split_1,B_T2,1,no
driver268,5,Other,1.0,3,edd,first,split_2,A,1,no
driver268,43,Break,1.0,3,edd,first,split_2,B_T3,1,no
driver268,9,Other,1.0,3,edd,second,split_1,A,1,no
driver268,1,Driving,1.0,3,edd,second,split_1,A,1,no
driver268,6,Other,1.0,3,edd,second,split_1,A,1,no
driver268,158,Driving,1.0,3,edd,second,split_1,A,1,no
driver268,17,Break,1.0,3,edd,second,split_1,B_T2,1,no
driver268,98,Driving,1.0,3,edd,second,split_2,A,1,no
driver268,48,Break,1.0,3,edd,second,split_2,B_T3,1,no
driver268,234,Driving,1.0,3,edd,third,uninterrupted,A,1,no
driver268,545,Break,1.0,3,edd,third,uninterrupted,DR_T2,1,no
driver268,60,Driving,1.0,4,edd,first,split_1,A,1,no
driver268,38,Break,1.0,4,edd,first,split_1,B_T2,1,no
driver268,15,Driving,1.0,4,edd,first,split_2,A,1,no
driver268,4,Other,1.0,4,edd,first,split_2,A,1,no
driver268,130,Driving,1.0,4,edd,first,split_2,A,1,no
driver268,3,Other,1.0,4,edd,first,split_2,A,1,no
driver268,18,Driving,1.0,4,edd,first,split_2,A,1,no
driver268,65,Break,1.0,4,edd,first,split_2,B_T3,1,no
driver268,1,Driving,1.0,4,edd,second,uninterrupted,A,1,no
driver268,13,Other,1.0,4,edd,second,uninterrupted,A,1,no
