Activity	DayType	Sequence	BreakType	Token	Legal	Topic
Driving	none	none	none	A	0	7.0
Driving	none	none	uninterrupted	A	0	7.0
Driving	none	none	split_1	A	0	7.0
Driving	none	none	split_2	A	0	7.0
Other	none	none	none	A	0	7.0
Break	none	none	none	none	0	7.0
Other	none	none	uninterrupted	A	0	7.0
Break	none	none	split_2	B_T3	0	7.0
Break	none	none	split_1	B_T2	0	7.0
Other	none	none	split_1	A	0	7.0
