Driver	Day	Topic list
driver136	2	[7, 12, 14]
driver136	3	[15]
driver136	4	[2, 5]
driver136	5	[2, 8]
driver136	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver136	7	[5, 8]
driver136	8	[0, 3]
driver136	9	[2, 12]
driver136	10	[5, 8]
driver136	11	[1]
driver136	12	[8]
driver136	13	[12]
driver137	1	[2, 5]
driver137	2	[3, 14]
driver137	3	[2, 13, 14]
driver137	4	[0, 13]
driver137	5	[2, 5, 14]
driver137	6	[2, 5]
driver137	7	[0, 9, 14]
driver137	8	[2, 13]
driver137	9	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver137	10	[5, 8]
driver137	11	[0, 10, 11]
driver137	12	[2, 14]
driver137	13	[5, 8]
driver138	1	[9]
driver138	2	[1]
driver138	3	[13]
driver138	4	[2, 13]
driver138	5	[2]
driver138	6	[0, 11]
driver138	7	[2, 13, 14]
driver138	8	[2, 3]
driver139	1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver139	2	[2, 5]
driver139	3	[1, 4, 15]
driver139	4	[2, 5]
driver139	5	[5, 8, 14]
driver139	6	[4, 15]
driver139	7	[9]
driver139	8	[1, 14]
driver139	9	[1, 4, 10]
driver140	1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver140	2	[2, 13, 14]
driver140	3	[2, 7, 13]
driver140	4	[0, 3, 14]
driver140	5	[2, 7]
driver140	6	[2, 5, 7, 14]
driver140	7	[14]
driver140	8	[14]
driver141	1	[0, 2, 3, 4, 5, 8, 9, 12, 13, 14]
driver141	2	[2, 14]
driver141	3	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver141	4	[3]
driver141	5	[2, 5]
driver141	6	[2, 13]
driver141	7	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver141	8	[3, 14]
driver141	9	[15]
driver142	1	[10, 11, 14, 15]
driver142	2	[3]
driver142	3	[2, 9, 13]
driver142	4	[3]
driver142	5	[4]
driver142	6	[12]
driver142	7	[2, 13]
driver143	1	[5, 8]
driver143	2	[7, 13]
driver143	3	[9]
driver143	4	[7, 13]
driver143	5	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver143	6	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver143	7	[2, 5, 7]
driver143	8	[9, 13]
driver143	9	[13, 14]
driver143	10	[12]
driver143	11	[0, 7, 13, 14]
driver143	12	[0, 3, 14]
driver143	13	[6, 12]
driver144	1	[2]
driver144	2	[9]
driver144	3	[8]
driver144	4	[9]
driver144	5	[2, 8]
driver144	6	[9]
driver144	7	[8]
driver144	8	[2, 8]
driver144	9	[9]
driver144	10	[8]
driver144	11	[8]
driver144	12	[2, 7, 8, 12]
driver145	1	[11]
driver145	2	[2, 13]
driver145	3	[2, 6, 12]
driver145	4	[8]
driver145	5	[4, 11]
driver145	6	[5, 8]
driver145	7	[2, 8, 12]
driver145	8	[2, 13]
driver145	9	[4]
driver145	10	[1, 10]
driver147	1	[9]
driver147	2	[2, 12]
driver147	3	[9, 14]
driver147	4	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver147	5	[11]
driver147	6	[8]
driver147	7	[1, 10]
driver147	8	[4, 10]
driver147	9	[8]
driver147	10	[2, 5]
driver147	11	[2, 7, 12]
driver147	12	[2]
driver147	13	[2, 13]
driver147	14	[9]
driver148	1	[0, 2, 3, 4, 5, 8, 9, 12, 13, 14]
driver148	2	[3, 14]
driver148	3	[3]
driver148	4	[3]
driver148	5	[0, 3, 14]
driver148	6	[3, 14]
driver148	7	[2, 7, 14]
driver148	8	[3, 14]
driver148	9	[3, 14]
driver149	1	[13]
driver149	2	[2]
driver149	3	[2, 13]
driver149	4	[9]
driver149	5	[0, 3]
driver149	6	[3, 14]
driver149	7	[2, 13]
driver149	8	[8]
driver149	9	[2, 13]
driver149	10	[1]
driver149	11	[0, 1, 4]
driver150	1	[9]
driver150	2	[5, 8]
driver150	3	[2, 5, 14]
driver150	4	[9]
driver150	5	[4, 10]
driver150	6	[2, 13]
driver150	7	[12]
driver150	8	[4, 15]
driver150	9	[1]
driver150	10	[0, 2, 13]
driver150	11	[0, 3, 14]
driver151	1	[9]
driver151	2	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver151	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver151	4	[0, 11, 15]
driver151	5	[0, 5, 8]
driver151	6	[2, 13]
driver151	7	[2, 5]
driver151	8	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver151	9	[2, 8]
driver151	10	[0, 2, 5]
driver151	11	[9]
driver151	12	[11]
driver151	13	[2, 12]
driver151	14	[2, 7]
driver152	1	[9]
driver152	2	[4, 11]
driver152	3	[2, 5, 14]
driver152	4	[0, 4, 15]
driver152	5	[8]
driver152	6	[13]
driver152	7	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver152	8	[9]
driver152	9	[5, 8]
driver152	10	[13]
driver152	11	[13]
driver152	12	[3]
driver152	13	[0, 2]
driver152	14	[2, 8, 12, 14]
driver152	15	[8]
driver153	1	[2, 5, 14]
driver153	2	[8]
driver153	3	[2, 5]
driver153	4	[0, 2, 5]
driver153	5	[1, 15]
driver153	6	[8]
driver153	7	[13]
driver153	8	[2, 8, 12]
driver153	9	[2, 13]
driver153	10	[8]
driver153	11	[2, 6, 12]
driver154	1	[1]
driver154	2	[8]
driver154	3	[4]
driver154	4	[9]
driver154	5	[2, 12]
driver154	6	[2, 5, 14]
driver154	7	[1]
driver154	8	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver154	9	[2, 12]
driver154	10	[7, 12, 14]
driver154	11	[3]
driver154	12	[3, 14]
driver154	13	[2, 12]
driver154	14	[9]
driver155	1	[9]
driver155	2	[12]
driver155	3	[5, 8]
driver155	4	[9]
driver155	5	[11, 15]
driver155	6	[3]
driver155	7	[8]
driver155	8	[8]
driver155	9	[8]
driver155	10	[12]
driver155	11	[3]
driver155	12	[8]
driver155	13	[12]
driver155	14	[2, 5, 8, 12]
driver155	15	[9]
driver157	1	[2, 12]
driver157	2	[8, 9]
driver157	3	[3]
driver157	4	[2]
driver157	5	[2, 6, 12]
driver157	6	[0, 2, 3, 4, 5, 8, 9, 12, 13, 14]
driver157	7	[2, 13]
driver159	1	[2, 13]
driver159	2	[0, 3]
driver159	3	[9]
driver159	4	[11, 14, 15]
driver159	5	[0, 2, 3, 4, 5, 8, 9, 12, 13, 14]
driver159	6	[13]
driver159	7	[0, 4, 10]
driver159	8	[2, 12]
driver159	9	[2, 12]
driver159	10	[2, 12]
driver159	11	[7, 12]
driver159	12	[0, 2, 5]
driver159	13	[0, 1]
driver159	14	[4, 15]
driver159	15	[2, 7, 12]
driver160	1	[2, 13]
driver160	2	[0, 12]
driver160	3	[0, 2, 5]
driver160	4	[5, 8]
driver160	5	[2, 5]
driver160	6	[2, 13]
driver160	7	[9]
driver160	8	[1]
driver160	9	[4, 10, 14]
driver160	10	[10, 11]
driver160	11	[8]
driver161	1	[13]
driver161	2	[14]
driver161	3	[0, 14]
driver161	4	[5, 8]
driver161	5	[15]
driver161	6	[3, 14]
driver161	7	[7, 12]
driver161	8	[14]
driver162	1	[4, 10, 14]
driver162	2	[2, 5]
driver162	3	[4, 10]
driver162	4	[0, 3]
driver162	5	[2, 14]
driver162	6	[2]
driver162	7	[4, 10]
driver162	8	[0, 12]
driver162	9	[1, 4]
driver162	10	[9]
driver163	1	[2, 5, 14]
driver163	2	[0, 1]
driver163	3	[9]
driver163	4	[0, 3]
driver163	5	[10, 11]
driver163	6	[0, 11, 15]
driver163	7	[11, 14, 15]
driver163	8	[1, 15]
driver163	9	[9]
driver163	10	[0, 2, 5]
driver163	11	[0, 2, 13]
driver163	12	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver164	1	[3]
driver164	2	[2, 5]
driver164	3	[12, 14]
driver164	4	[3, 14]
driver164	5	[5, 7, 14]
driver164	6	[6, 12]
driver164	7	[0, 3, 14]
driver164	8	[2, 7]
driver164	9	[0, 4]
driver164	10	[14]
driver164	11	[7, 13]
driver164	12	[0, 3, 14]
driver165	1	[2, 14]
driver165	2	[1, 10]
driver165	3	[2, 5]
driver165	4	[8]
driver165	5	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver165	6	[2, 13, 14]
driver165	7	[2, 5]
driver165	8	[0, 1, 4]
driver166	1	[12]
driver166	2	[2, 14]
driver166	3	[0, 3]
driver166	4	[3]
driver166	5	[0, 4, 11, 15]
driver166	6	[13]
driver166	7	[3]
driver166	8	[2, 13]
driver166	9	[2, 8, 12]
driver166	10	[9]
driver166	11	[13]
driver166	12	[2, 5]
driver166	13	[2, 5]
driver167	1	[8]
driver167	2	[3]
driver167	3	[9, 13]
driver167	4	[3, 14]
driver167	5	[2, 5, 14]
driver167	6	[3, 14]
driver167	7	[2, 7, 12]
driver167	8	[2, 7, 13, 14]
driver167	9	[3]
driver167	10	[14]
driver167	11	[4, 10]
driver168	1	[5, 8]
driver168	2	[3]
driver168	3	[13, 14]
driver168	4	[3]
driver168	5	[3, 14]
driver168	6	[0, 15]
driver168	7	[9]
driver168	8	[9]
driver168	9	[9]
driver168	10	[0, 4]
driver168	11	[1, 4, 15]
driver168	12	[5, 8]
driver168	13	[2, 5]
driver169	1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver169	2	[9, 13]
driver169	3	[13]
driver169	4	[5, 8]
driver169	5	[4]
driver169	6	[12]
driver169	7	[11]
driver169	8	[1]
driver169	9	[9, 13]
driver169	10	[0, 2, 5]
driver170	1	[9]
driver170	2	[2, 5]
driver170	3	[3, 14]
driver170	4	[0, 5, 7, 14]
driver170	5	[0, 14]
driver170	6	[3, 14]
driver170	7	[3, 14]
driver170	8	[0, 3, 14]
driver170	9	[0, 14]
driver170	10	[3, 14]
driver170	11	[4, 10, 14]
driver170	12	[14]
driver171	1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver171	2	[1]
driver171	3	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver171	4	[0, 3]
driver171	5	[9]
driver171	6	[9]
driver171	7	[11, 15]
driver171	8	[2, 13]
driver172	1	[4, 15]
driver172	2	[4, 10, 14]
driver172	3	[2, 13]
driver172	4	[2, 8, 12]
driver172	5	[8]
driver172	6	[0, 7, 12]
driver172	7	[0, 11]
driver172	8	[4]
driver172	9	[4]
driver173	1	[13]
driver173	2	[3]
driver173	3	[2, 13]
driver173	4	[2, 5]
driver173	5	[2, 13]
driver173	6	[8]
driver173	7	[2, 13]
driver173	8	[2, 5]
driver173	9	[4, 11]
driver173	10	[2, 12]
driver173	11	[9]
driver174	1	[9]
driver174	2	[1, 10]
driver174	3	[1, 15]
driver174	4	[9]
driver174	5	[0, 11]
driver174	6	[8]
driver174	7	[9]
driver174	8	[8]
driver174	9	[8]
driver174	10	[3]
driver174	11	[1, 4, 15]
driver174	12	[1, 4, 15]
driver175	1	[4, 15]
driver175	2	[2, 5]
driver175	3	[1]
driver175	4	[2, 13]
driver175	5	[2, 6, 12]
driver175	6	[0, 3]
driver175	7	[13]
driver175	8	[2]
driver175	9	[3, 14]
driver175	10	[8]
driver175	11	[0, 3]
driver175	12	[2, 5]
driver176	1	[8]
driver176	2	[5, 8]
driver176	3	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver176	4	[2, 13]
driver176	5	[4, 10, 14]
driver176	6	[1, 4, 10]
driver176	7	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver176	8	[2, 13]
driver176	9	[3]
driver176	10	[4, 11]
driver176	11	[9]
driver176	12	[2, 13]
driver176	13	[2, 13]
driver177	1	[2, 13, 14]
driver177	2	[4, 10]
driver177	3	[5, 8]
driver177	4	[1, 4]
driver177	5	[3]
driver177	6	[0, 2]
driver177	7	[2, 8]
driver177	8	[0, 11]
driver177	9	[3]
driver177	10	[3]
driver177	11	[0, 11]
driver177	12	[4, 10]
driver178	1	[7, 13]
driver178	2	[9]
driver178	3	[2, 5, 7, 14]
driver178	4	[14]
driver178	5	[2, 7]
driver178	6	[3, 14]
driver178	7	[3, 14]
driver178	8	[0, 4, 10]
driver178	9	[2, 5, 7]
driver179	1	[12]
driver179	2	[11, 15]
driver179	3	[4, 15]
driver179	4	[2, 13]
driver179	5	[0, 2]
driver179	6	[8]
driver179	7	[2, 5]
driver179	8	[3]
driver179	9	[4, 11]
driver179	10	[8]
driver180	1	[6, 12]
driver180	2	[2, 7, 13]
driver180	3	[3, 14]
driver180	4	[8]
driver180	5	[2, 7, 12]
driver180	6	[1, 4, 15]
driver180	7	[3, 14]
driver180	8	[14]
driver180	9	[2, 7, 13]
driver180	10	[3, 14]
driver181	1	[11, 14]
driver181	2	[9]
driver181	3	[13]
driver181	4	[0, 4, 11, 15]
driver181	5	[9]
driver181	6	[2, 13]
driver181	7	[3]
driver181	8	[9]
driver181	9	[8]
driver182	1	[2, 13]
driver182	2	[4]
driver182	3	[2, 5]
driver182	4	[2, 5]
driver182	5	[0, 2, 5]
driver182	6	[2, 13]
driver183	1	[12]
driver183	2	[3, 14]
driver183	3	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver183	4	[8]
driver183	5	[14]
driver183	6	[12]
driver183	7	[0, 12]
driver183	8	[12]
driver183	9	[12]
driver183	10	[2, 7, 13]
driver183	11	[3, 14]
driver184	1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver184	2	[7, 14]
driver184	3	[2, 7, 13]
driver184	4	[9, 13]
driver184	5	[2, 5, 7]
driver184	6	[2, 7]
driver184	7	[14]
driver184	8	[3]
driver185	1	[2, 12]
driver185	2	[15]
driver185	3	[3, 14]
driver185	4	[3, 14]
driver185	5	[11, 14, 15]
driver185	6	[12]
driver185	7	[5, 7]
driver185	8	[12]
driver185	9	[2, 7, 13]
driver185	10	[2, 5, 7, 14]
driver186	1	[5, 8]
driver186	2	[12]
driver186	3	[3]
driver186	4	[9]
driver186	5	[0, 1, 15]
driver186	6	[14]
driver186	7	[12]
driver186	8	[0, 2, 5, 7, 14]
driver186	9	[3, 14]
driver187	1	[9]
driver187	2	[3]
driver187	3	[0, 3, 14]
driver188	1	[3, 14]
driver188	2	[0, 2, 3, 4, 5, 8, 9, 12, 13, 14]
driver188	3	[2, 14]
driver188	4	[0, 3, 14]
driver188	5	[5, 8]
driver188	6	[2, 12, 14]
driver188	7	[1, 2]
driver188	8	[0, 2, 3, 4, 5, 8, 9, 12, 13, 14]
driver188	9	[2]
driver188	10	[3, 14]
driver188	11	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver188	12	[2, 7, 12]
