Activity	DayType	Sequence	BreakType	Token	Legal	Topic
Driving	edd	second	split_2	A	1	4.0
Driving	edd	first	split_1	A	1	4.0
Driving	edd	first	split_2	A	1	4.0
Driving	edd	second	split_1	A	1	4.0
Other	edd	second	split_2	A	1	4.0
Driving	edd	third	uninterrupted	A	1	4.0
Other	edd	first	split_1	A	1	4.0
Other	edd	first	split_2	A	1	4.0
Break	edd	first	split_2	B_T3	1	4.0
Break	edd	first	split_1	B_T2	1	4.0
