Activity	DayType	Sequence	BreakType	Token	Legal	Topic
Driving	ndd	first	uninterrupted	A	1	8.0
Driving	ndd	second	split_2	A	1	8.0
Driving	ndd	second	split_1	A	1	8.0
Other	ndd	first	uninterrupted	A	1	8.0
Break	ndd	first	uninterrupted	B_T1	1	8.0
Break	ndd	second	split_1	B_T2	1	8.0
Other	ndd	second	split_2	A	1	8.0
Other	ndd	second	split_1	A	1	8.0
Break	ndd	first	uninterrupted	B_T0	1	8.0
Break	ndd	second	split_2	B_T0	1	8.0
