Activity	DayType	Sequence	BreakType	Token	Legal	Topic
Driving	edd	first	uninterrupted	A	1	3.0
Driving	edd	second	split_2	A	1	3.0
Driving	edd	third	uninterrupted	A	1	3.0
Other	edd	first	uninterrupted	A	1	3.0
Driving	edd	second	split_1	A	1	3.0
Break	edd	first	uninterrupted	B_T1	1	3.0
Other	edd	second	split_2	A	1	3.0
Break	edd	second	split_2	B_T3	1	3.0
Break	edd	second	split_1	B_T2	1	3.0
Other	edd	third	uninterrupted	A	1	3.0
