Activity	DayType	Sequence	BreakType	Token	Legal	Topic
Driving	ndd	unique	split_2	A	1	10.0
Driving	ndd	unique	split_1	A	1	10.0
Other	ndd	unique	split_2	A	1	10.0
Other	ndd	unique	split_1	A	1	10.0
Break	ndd	unique	split_1	B_T2	1	10.0
Break	ndd	unique	split_2	B_T0	1	10.0
Break	ndd	unique	split_1	B_T0	1	10.0
Idle	ndd	unique	split_2	I	1	10.0
Break	ndd	unique	split_2	DR_T1	1	10.0
Break	ndd	unique	split_2	DR_T3	1	10.0
