Activity	DayType	Sequence	BreakType	Token	Legal	Topic
Driving	edd	third	split_1	A	1	2.0
Driving	edd	third	split_2	A	1	2.0
Other	edd	third	split_1	A	1	2.0
Driving	edd	first	split_1	A	1	2.0
Driving	edd	first	split_2	A	1	2.0
Other	edd	third	split_2	A	1	2.0
Break	edd	third	split_1	B_T2	1	2.0
Other	edd	first	split_1	A	1	2.0
Break	edd	third	split_2	B_T0	1	2.0
Break	edd	first	split_2	B_T3	1	2.0
