Activity	DayType	Sequence	BreakType	Token	Legal	Topic
Break	ndd	unique	uninterrupted	WR_T1	1	15.0
Driving	ndd	first	uninterrupted	A	1	15.0
Driving	ndd	unique	uninterrupted	A	1	15.0
Driving	ndd	second	split_1	A	1	15.0
Break	ndd	first	uninterrupted	B_T1	1	15.0
Driving	ndd	second	split_2	A	1	15.0
Break	ndd	second	split_1	B_T2	1	15.0
Driving	edd	first	split_1	A	1	15.0
Other	ndd	second	split_1	A	1	15.0
Break	ndd	second	split_2	DR_T1	1	15.0
