Activity	DayType	Sequence	BreakType	Token	Legal	Topic
Idle	ndd	first	split_1	I	1	14.0
Idle	ndd	first	split_2	I	1	14.0
Break	ndd	unique	uninterrupted	DR_T4	1	14.0
Break	ndd	first	split_2	B_T0	1	14.0
Idle	ndd	second	uninterrupted	I	1	14.0
Sug-Break	ndd	second	uninterrupted	DR_T1	1	14.0
Break	ndd	first	split_1	B_T2	1	14.0
Break	ndd	first	split_2	B_T3	1	14.0
Sug-Break	ndd	first	uninterrupted	B_T1	1	14.0
Break	ndd	second	uninterrupted	B_T0	1	14.0
