Activity	DayType	Sequence	BreakType	Token	Legal	Topic
Driving	edd	second	split_1	A	1	1.0
Other	edd	second	split_1	A	1	1.0
Driving	edd	third	split_2	A	1	1.0
Break	edd	second	split_1	B_T0	1	1.0
Other	edd	third	split_2	A	1	1.0
Driving	edd	second	split_2	A	1	1.0
Break	edd	second	split_1	B_T2	1	1.0
Break	edd	second	split_2	B_T3	1	1.0
Break	edd	third	split_1	B_T2	1	1.0
Driving	edd	third	split_1	A	1	1.0
