Activity	DayType	Sequence	BreakType	Token	Legal	Topic
Driving	ndd	first	uninterrupted	A	1	11.0
Other	ndd	first	uninterrupted	A	1	11.0
Driving	ndd	second	uninterrupted	A	1	11.0
Break	ndd	first	uninterrupted	B_T1	1	11.0
Other	ndd	second	uninterrupted	A	1	11.0
Break	ndd	first	uninterrupted	B_T0	1	11.0
Break	ndd	second	uninterrupted	DR_T1	1	11.0
Break	ndd	second	uninterrupted	DR_T2	1	11.0
Break	ndd	second	uninterrupted	WR_T2	1	11.0
Break	ndd	second	uninterrupted	B_T0	1	11.0
