Activity	DayType	Sequence	BreakType	Token	Legal	Topic
Driving	none	none	none	A	0	9.0
Break	none	none	none	B_T0	0	9.0
Break	none	none	none	none	0	9.0
Other	none	none	none	A	0	9.0
Idle	none	none	none	I	0	9.0
Idle	ndd	unique	split_1	I	1	9.0
Idle	ndd	unique	split_2	I	1	9.0
Break	ndd	unique	split_2	B_T0	1	9.0
Break	ndd	unique	split_1	B_T2	1	9.0
Break	ndd	unique	split_1	B_T0	1	9.0
