Driver,DateStart,HourStart,HourEnd,Duration,Distance,Status,Profession,Vehicle,PlaceStart,PlaceEnd,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd,MilometerStart,MilometerEnd
driver33,vie 13/01/17,16:44,17:21,0h 37m,23.664109621899343,En espera,2,9988HMLMD2026Q01288,"11205, Algeciras, GI, próximo a Gibraltar","11180, GI, 46,1 km noroeste Gibraltar",36.144675,-5.454245,36.144675,-5.717785,"538,218","538,265"
driver33,vie 13/01/17,17:21,17:47,0h 26m,0.02012762181822188,Pausa,2,9988HMLMD2026Q01288,"11180, GI, 46,1 km noroeste Gibraltar","11180, GI, 46,1 km noroeste Gibraltar",36.438197,-5.717785,36.438197,-5.71756,"538,265","538,265"
driver33,vie 13/01/17,17:47,18:42,0h 55m,21.71273028576007,En espera,2,9988HMLMD2026Q01288,"11180, GI, 46,1 km noroeste Gibraltar","11519, Puerto Real, ES, próximo a Cádiz",36.438368,-5.71756,36.438368,-5.47484,"538,265","538,319"
