Driver,DateStart,HourStart,HourEnd,Duration,Distance,Status,Profession,Vehicle,PlaceStart,PlaceEnd,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd,MilometerStart,MilometerEnd
driver223,dom 1/01/17,07:42,08:02,0h 20m,14.284799882531567,Conduciendo,1,SB84ZFOMI5256H00826,"46360, Buñol, ES, 32,6 km oeste Valencia","Torrent, 46370, ES, 18,2 km oeste Valencia",39.445194,-0.75557,39.445194,-0.589213,"30,244","30,264"
driver223,dom 1/01/17,08:02,08:05,0h 03m,0.001115787197798023,Otro trabajo,1,SB84ZFOMI5256H00826,"Torrent, 46370, ES, 18,2 km oeste Valencia","Torrent, 46370, ES, 18,2 km oeste Valencia",39.476465,-0.589213,39.476465,-0.5892,"30,264","30,264"
driver223,dom 1/01/17,08:05,08:06,0h 01m,0.004377319258426693,Conduciendo,1,SB84ZFOMI5256H00826,"Torrent, 46370, ES, 18,2 km oeste Valencia","Torrent, 46370, ES, 18,2 km oeste Valencia",39.476461,-0.5892,39.476461,-0.589149,"30,264","30,264"
driver223,dom 1/01/17,08:06,08:20,0h 14m,0.005836425594017442,Otro trabajo,1,SB84ZFOMI5256H00826,"Torrent, 46370, ES, 18,2 km oeste Valencia","Torrent, 46370, ES, 18,2 km oeste Valencia",39.476462,-0.589149,39.476462,-0.589081,"30,264","30,264"
driver223,dom 1/01/17,08:20,10:30,2h 10m,2.938470341240216,Conduciendo,1,SB84ZFOMI5256H00826,"Torrent, 46370, ES, 18,2 km oeste Valencia","43530, ES, 77,9 km sudoeste Reus",39.476421,-0.589081,39.476421,-0.554845,"30,264","30,445"
driver223,dom 1/01/17,10:30,10:37,0h 07m,0.0036307742443418525,Pausa,1,SB84ZFOMI5256H00826,"43530, ES, 77,9 km sudoeste Reus","43530, ES, 77,9 km sudoeste Reus",40.592483,-0.554845,40.592483,-0.554802,"30,445","30,445"
driver223,dom 1/01/17,10:37,12:25,1h 48m,89.99150119949378,Conduciendo,1,SB84ZFOMI5256H00826,"43530, ES, 77,9 km sudoeste Reus","Vilanova I La Geltrú, 43720, ES, 36,3 km nordeste Tarragona",40.592407,-0.554802,40.592407,-1.620595,"30,445","30,585"
driver223,dom 1/01/17,12:29,14:56,2h 27m,105.23754676261275,En espera,2,SB84ZFOMI5256H00826,"Vilanova I La Geltrú, 43720, ES, 36,6 km nordeste Tarragona","17700, FR, 33,7 km sur Perpignan",41.288538,-1.620595,41.288538,-2.88016,"30,586","30,788"
driver223,dom 1/01/17,14:56,15:07,0h 11m,0.010264295170562349,Pausa,2,SB84ZFOMI5256H00826,"17700, FR, 33,7 km sur Perpignan","17700, FR, 33,7 km sur Perpignan",42.398568,-2.88016,42.398568,-2.880035,"30,788","30,788"
driver223,dom 1/01/17,15:07,15:38,0h 31m,1.4911100276669957,En espera,2,SB84ZFOMI5256H00826,"17700, FR, 33,7 km sur Perpignan","A9/E15 La Catalane, 66450, Perpignan, FR",42.398764,-2.880035,42.398764,-2.861876,"30,788","30,822"
driver223,dom 1/01/17,15:38,17:05,1h 27m,0.008750223997677211,Pausa,2,SB84ZFOMI5256H00826,"A9/E15 La Catalane, 66450, Perpignan, FR","A9/E15 La Catalane, 66000, Perpignan, FR",42.655137,-2.861876,42.655137,-2.861769,"30,822","30,822"
driver223,dom 1/01/17,17:05,20:45,3h 40m,153.56585372426616,En espera,2,SB84ZFOMI5256H00826,"A9/E15 La Catalane, 66000, Perpignan, FR","A7/E15 Autoroute Du Soleil, 26130, FR, 42,3 km norte Avignon",42.655583,-2.861769,42.655583,-4.739664,"30,822","31,104"
driver223,dom 1/01/17,20:45,20:46,0h 01m,0.003102272205136225,Pausa,2,SB84ZFOMI5256H00826,"A7/E15 Autoroute Du Soleil, 26130, FR, 42,3 km norte Avignon","A7/E15 Autoroute Du Soleil, 26130, FR, 42,3 km norte Avignon",44.326524,-4.739664,44.326524,-4.739625,"31,104","31,104"
driver223,dom 1/01/17,20:49,21:03,0h 14m,0.0016704548053921436,Pausa,1,SB84ZFOMI5256H00826,"A7/E15 Autoroute Du Soleil, 26130, FR, 42,3 km norte Avignon","A7/E15 Autoroute Du Soleil, 26130, FR, 42,3 km norte Avignon",44.326505,-4.739625,44.326505,-4.739604,"31,104","31,104"
driver223,dom 1/01/17,21:03,00:39,3h 36m,8.4279078176425,Conduciendo,1,SB84ZFOMI5256H00826,"A7/E15 Autoroute Du Soleil, 26130, FR, 42,3 km norte Avignon","A6/E15/E21 Autoroute Du Soleil, 71240, FR, 72,3 km sur Dijon",44.326598,-4.739604,44.326598,-4.845555,"31,104","31,404"
driver223,lun 2/01/17,00:39,00:41,0h 02m,0.0027458123541467608,Otro trabajo,1,SB84ZFOMI5256H00826,"A6/E15/E21 Autoroute Du Soleil, 71240, FR, 72,3 km sur Dijon","A6/E15/E21 Autoroute Du Soleil, 71240, FR, 72,3 km sur Dijon",46.690764,-4.845555,46.690764,-4.845591,"31,404","31,404"
driver223,lun 2/01/17,00:41,00:43,0h 02m,0.11761219348815612,Conduciendo,1,SB84ZFOMI5256H00826,"A6/E15/E21 Autoroute Du Soleil, 71240, FR, 72,3 km sur Dijon","A6/E15/E21 Autoroute Du Soleil, 71240, FR, 72,0 km sur Dijon",46.690811,-4.845591,46.690811,-4.844049,"31,404","31,405"
driver223,lun 2/01/17,00:43,10:20,9h 37m,0.010601288663293691,Pausa,1,SB84ZFOMI5256H00826,"A6/E15/E21 Autoroute Du Soleil, 71240, FR, 72,0 km sur Dijon","A6/E15/E21 Autoroute Du Soleil, 71240, FR, 72,0 km sur Dijon",46.69381,-4.844049,46.69381,-4.84391,"31,405","31,405"
driver223,lun 2/01/17,10:20,10:21,0h 01m,0.01975338996851321,Otro trabajo,1,SB84ZFOMI5256H00826,"A6/E15/E21 Autoroute Du Soleil, 71240, FR, 72,0 km sur Dijon","A6/E15/E21 Autoroute Du Soleil, 71240, FR, 71,8 km sur Dijon",46.694057,-4.84391,46.694057,-4.843651,"31,405","31,405"
driver223,lun 2/01/17,10:21,14:00,3h 39m,120.22490690528309,Conduciendo,1,SB84ZFOMI5256H00826,"A6/E15/E21 Autoroute Du Soleil, 71240, FR, 71,8 km sur Dijon","54300, FR, 20,7 km sudeste Nancy",46.695391,-4.843651,46.695391,-6.420066,"31,405","31,721"
driver223,lun 2/01/17,14:04,15:07,1h 03m,0.00029419369151895326,Pausa,2,SB84ZFOMI5256H00826,"54300, FR, 20,7 km sudeste Nancy","54300, FR, 20,7 km sudeste Nancy",48.590452,-6.420066,48.590452,-6.420062,"31,721","31,721"
driver223,lun 2/01/17,15:07,19:02,3h 55m,238.5048567764881,En espera,2,SB84ZFOMI5256H00826,"54300, FR, 20,7 km sudeste Nancy","A8/E52, 73347, Göppingen, DE",48.590465,-6.420062,48.590465,-9.663134,"31,721","32,026"
driver223,lun 2/01/17,19:02,21:15,2h 13m,0.01728825036713967,Pausa,2,SB84ZFOMI5256H00826,"A8/E52, 73347, Göppingen, DE","A8/E52, 73347, Göppingen, DE",48.577672,-9.663134,48.577672,-9.662899,"32,026","32,026"
driver223,lun 2/01/17,21:15,21:37,0h 22m,12.591702007373632,En espera,2,SB84ZFOMI5256H00826,"A8/E52, 73347, Göppingen, DE","A8/E52, 89191, DE, 17,2 km noroeste Ulm",48.577485,-9.662899,48.577485,-9.834058,"32,026","32,047"
driver223,lun 2/01/17,21:37,22:10,0h 33m,0.0005156511078153425,Pausa,2,SB84ZFOMI5256H00826,"A8/E52, 89191, DE, 17,2 km noroeste Ulm","A8/E52, 89191, DE, 17,2 km noroeste Ulm",48.510693,-9.834058,48.510693,-9.834065,"32,047","32,047"
driver223,lun 2/01/17,22:10,00:42,2h 32m,158.1163453479441,En espera,2,SB84ZFOMI5256H00826,"A8/E52, 89191, DE, 17,2 km noroeste Ulm","A8/E45/E52, 83075, Rosenheim, DE",48.510671,-9.834065,48.510671,-11.980575,"32,047","32,264"
driver223,mar 3/01/17,00:42,00:48,0h 06m,0.0017918679064720337,Pausa,2,SB84ZFOMI5256H00826,"A8/E45/E52, 83075, Rosenheim, DE","A8/E45/E52, 83075, Rosenheim, DE",47.821391,-11.980575,47.821391,-11.980599,"32,264","32,264"
driver223,mar 3/01/17,00:48,01:00,0h 12m,14.518161274849525,En espera,2,SB84ZFOMI5256H00826,"A8/E45/E52, 83075, Rosenheim, DE","A8/E52/E60, 83101, Rosenheim, DE",47.821379,-11.980599,47.821379,-12.175053,"32,264","32,279"
driver223,mar 3/01/17,01:00,01:05,0h 05m,0.035178455447728844,Pausa,2,SB84ZFOMI5256H00826,"A8/E52/E60, 83101, Rosenheim, DE","A8/E52/E60, 83101, Rosenheim, DE",47.802126,-12.175053,47.802126,-12.175524,"32,279","32,279"
driver223,mar 3/01/17,01:05,02:32,1h 27m,54.69265169053023,En espera,2,SB84ZFOMI5256H00826,"A8/E52/E60, 83101, Rosenheim, DE","83451, Salzburg, DE",47.802133,-12.175524,47.802133,-12.9078,"32,279","32,342"
driver223,mar 3/01/17,02:32,13:46,11h 14m,0.01584522595734575,Pausa,2,SB84ZFOMI5256H00826,"83451, Salzburg, DE","83451, Salzburg, DE",47.765402,-12.9078,47.764841,-12.907994,"32,342","32,343"
driver223,mar 3/01/17,13:46,14:39,0h 53m,44.32394012438718,En espera,2,SB84ZFOMI5256H00826,"83451, Salzburg, DE","A1/E55/E60 WestAutobahn, 4881, Vöcklabruck, AT, 36,6 km este Salzburg",47.764866,-12.907994,47.764866,-13.501018,"32,343","32,404"
driver223,mar 3/01/17,14:39,14:54,0h 15m,0.002980701233260551,Pausa,2,SB84ZFOMI5256H00826,"A1/E55/E60 WestAutobahn, 4881, Vöcklabruck, AT, 36,6 km este Salzburg","A1/E55/E60 WestAutobahn, 4881, Vöcklabruck, AT, 36,6 km este Salzburg",47.921183,-13.501018,47.921183,-13.501058,"32,404","32,404"
driver223,mar 3/01/17,14:54,16:18,1h 24m,92.26468411575904,En espera,2,SB84ZFOMI5256H00826,"A1/E55/E60 WestAutobahn, 4881, Vöcklabruck, AT, 36,6 km este Salzburg","A1/E60 WestAutobahn, 3312, Amstetten, AT, 39,5 km sudeste Linz",47.921139,-13.501058,47.921139,-14.739231,"32,404","32,518"
