Driver,DateStart,HourStart,HourEnd,Duration,Distance,Status,Profession,Vehicle,PlaceStart,PlaceEnd,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd,MilometerStart,MilometerEnd
driver160,mar 3/01/17,11:55,11:57,0h 02m,0.0017933754993089113,Otro trabajo,1,SB72ZFOMI5256H00698,"A7/E45, 21438, Winsen (Luhe), DE, 26,4 km sur Hamburg","Winsen (Luhe), 21220, DE, 26,3 km sur Hamburg",53.320286,-10.060803,53.320286,-10.06083,"17,449","17,449"
driver160,mar 3/01/17,11:57,14:17,2h 20m,153.0514905253879,Conduciendo,1,SB72ZFOMI5256H00698,"Winsen (Luhe), 21220, DE, 26,3 km sur Hamburg","Westerstede, 26670, DE, 33,7 km noroeste Oldenburg (Oldenburg)",53.32035,-10.06083,53.32035,-7.756474,"17,449","17,645"
driver160,mar 3/01/17,14:17,14:30,0h 13m,0.0007981331390182082,Pausa,1,SB72ZFOMI5256H00698,"Westerstede, 26670, DE, 33,7 km noroeste Oldenburg (Oldenburg)","Westerstede, 26670, DE, 33,7 km noroeste Oldenburg (Oldenburg)",53.262581,-7.756474,53.262581,-7.756462,"17,645","17,645"
driver160,mar 3/01/17,14:30,16:35,2h 05m,132.52650710736165,Conduciendo,1,SB72ZFOMI5256H00698,"Westerstede, 26670, DE, 33,7 km noroeste Oldenburg (Oldenburg)","9051, Leeuwarderadeel, NL, próximo a Leeuwarden",53.262584,-7.756462,53.262584,-5.76385,"17,645","17,816"
driver160,mar 3/01/17,16:35,16:51,0h 16m,0.0017957076827766602,Pausa,1,SB72ZFOMI5256H00698,"9051, Leeuwarderadeel, NL, próximo a Leeuwarden","9051, Leeuwarderadeel, NL, próximo a Leeuwarden",53.264769,-5.76385,53.264769,-5.763823,"17,816","17,816"
driver160,mar 3/01/17,16:51,16:53,0h 02m,0.1121985366752053,Conduciendo,1,SB72ZFOMI5256H00698,"9051, Leeuwarderadeel, NL, próximo a Leeuwarden","9051, Leeuwarderadeel, NL, próximo a Leeuwarden",53.264746,-5.763823,53.264746,-5.762136,"17,816","17,816"
driver160,mar 3/01/17,16:53,17:38,0h 45m,0.39865402753201806,Pausa,1,SB72ZFOMI5256H00698,"9051, Leeuwarderadeel, NL, próximo a Leeuwarden","9051, Leeuwarderadeel, NL, próximo a Leeuwarden",53.264028,-5.762136,53.263961,-5.765085,"17,816","17,817"
driver160,mar 3/01/17,17:38,17:40,0h 02m,0.19201128531200398,Conduciendo,1,SB72ZFOMI5256H00698,"9051, Leeuwarderadeel, NL, próximo a Leeuwarden","9051, Leeuwarderadeel, NL, próximo a Leeuwarden",53.263972,-5.765085,53.263972,-5.762198,"17,817","17,817"
driver160,mar 3/01/17,17:40,18:33,0h 53m,0.015895606756872044,Pausa,1,SB72ZFOMI5256H00698,"9051, Leeuwarderadeel, NL, próximo a Leeuwarden","9051, Leeuwarderadeel, NL, próximo a Leeuwarden",53.264047,-5.762198,53.264047,-5.761959,"17,817","17,817"
driver160,mar 3/01/17,18:33,19:22,0h 49m,0.11412798938903589,Conduciendo,1,SB72ZFOMI5256H00698,"9051, Leeuwarderadeel, NL, próximo a Leeuwarden","A6, 8515, Joure, NL, 34,9 km sur Leeuwarden",53.264473,-5.761959,53.264473,-5.760243,"17,817","17,875"
