Driver,DateStart,HourStart,HourEnd,Duration,Distance,Status,Profession,Vehicle,PlaceStart,PlaceEnd,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd(WRONG),MilometerStart,MilometerEnd
driver131,dom 1/01/17,03:53,05:13,1h 20m,115.4,Conduciendo,1,SB43ZFO MI5256H00763,"A7/E19/E42, 7330, Mons, BE","A15/E42, 4537, Huy, BE, 19,8 km oeste Liège",50451855.0,3808048.0,50451855.0,50591835.0,"26,222","26,338"
driver131,dom 1/01/17,05:13,05:14,0h 01m,0.0,Otro trabajo,1,SB43ZFO MI5256H00763,"A15/E42, 4537, Huy, BE, 19,8 km oeste Liège","A15/E42, 4537, Huy, BE, 19,8 km oeste Liège",50591835.0,5303581.0,50591835.0,50591830.0,"26,338","26,338"
driver131,dom 1/01/17,05:14,05:16,0h 02m,0.0,Pausa,1,SB43ZFO MI5256H00763,"A15/E42, 4537, Huy, BE, 19,8 km oeste Liège","A15/E42, 4537, Huy, BE, 19,7 km oeste Liège",50591830.0,5303623.0,50591830.0,50591902.0,"26,338","26,338"
driver131,dom 1/01/17,05:16,05:18,0h 02m,0.0,Otro trabajo,1,SB43ZFO MI5256H00763,"A15/E42, 4537, Huy, BE, 19,7 km oeste Liège","A15/E42, 4537, Huy, BE, 19,7 km oeste Liège",50591902.0,5304098.0,50591902.0,50591950.0,"26,338","26,338"
driver131,dom 1/01/17,05:18,05:34,0h 16m,0.0,Pausa,1,SB43ZFO MI5256H00763,"A15/E42, 4537, Huy, BE, 19,7 km oeste Liège","A15/E42, 4537, Huy, BE, 19,7 km oeste Liège",50591950.0,5304127.0,50591950.0,50591984.0,"26,338","26,338"
driver131,dom 1/01/17,05:34,05:40,0h 06m,7.2,Conduciendo,1,SB43ZFO MI5256H00763,"A15/E42, 4537, Huy, BE, 19,7 km oeste Liège","A15/E42, 4400, Liège, BE",50591984.0,5304108.0,50591984.0,50615190.0,"26,338","26,345"
driver131,dom 1/01/17,05:40,05:45,0h 05m,0.1,Pausa,1,SB43ZFO MI5256H00763,"A15/E42, 4400, Liège, BE","A15/E42, 4400, Liège, BE",50615190.0,5395092.0,50615190.0,50615215.0,"26,345","26,345"
driver131,dom 1/01/17,05:45,08:32,2h 47m,232.4,Conduciendo,1,SB43ZFO MI5256H00763,"A15/E42, 4400, Liège, BE","59439, Holzwickede, DE, próximo a Unna",50615215.0,5396392.0,50615215.0,51514033.0,"26,345","26,577"
driver131,dom 1/01/17,08:32,08:34,0h 02m,0.0,Otro trabajo,1,SB43ZFO MI5256H00763,"59439, Holzwickede, DE, próximo a Unna","59439, Holzwickede, DE, próximo a Unna",51514033.0,7625379.0,51514033.0,51513962.0,"26,577","26,577"
driver131,dom 1/01/17,08:34,17:51,9h 17m,0.0,Pausa,1,SB43ZFO MI5256H00763,"59439, Holzwickede, DE, próximo a Unna","59439, Holzwickede, DE, próximo a Unna",51513962.0,7625184.0,51513962.0,51513969.0,"26,577","26,577"
driver131,dom 1/01/17,17:51,21:33,3h 42m,315.5,Conduciendo,1,SB43ZFO MI5256H00763,"59439, Holzwickede, DE, próximo a Unna","A7/E45, 21220, Winsen (Luhe), DE, 26,5 km sur Hamburg",51513969.0,7625210.0,51513969.0,53318852.0,"26,577","26,893"
driver131,dom 1/01/17,21:33,08:57,11h 24m,0.0,Pausa,1,SB43ZFO MI5256H00763,"A7/E45, 21220, Winsen (Luhe), DE, 26,5 km sur Hamburg","A7/E45, 21438, Winsen (Luhe), DE, 26,4 km sur Hamburg",53318852.0,10060669.0,53318852.0,53320198.0,"26,893","26,893"
driver131,lun 2/01/17,08:57,08:59,0h 02m,0.3,Conduciendo,1,SB43ZFO MI5256H00763,"A7/E45, 21438, Winsen (Luhe), DE, 26,4 km sur Hamburg","Winsen (Luhe), 21220, DE, 26,2 km sur Hamburg",53320198.0,10060494.0,53320198.0,53321952.0,"26,893","26,893"
