Driver,DateStart,HourStart,HourEnd,Duration,Distance,Status,Profession,Vehicle,PlaceStart,PlaceEnd,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd(WRONG),MilometerStart,MilometerEnd
driver123,mar 3/01/17,12:58,13:03,0h 05m,0.1,Pausa,1,SB48RTOMD2026Q01762,"83064, Raubling, DE, próximo a Rosenheim","83064, Raubling, DE, próximo a Rosenheim",47766125.0,12105396.0,47766125.0,47766163.0,"182,366","182,367"
driver123,mar 3/01/17,13:03,13:18,0h 15m,19.4,Conduciendo,1,SB48RTOMD2026Q01762,"83064, Raubling, DE, próximo a Rosenheim","Kufstein, 83088, AT, 27,4 km sur Rosenheim",47766163.0,12104839.0,47766163.0,47615528.0,"182,367","182,386"
driver123,mar 3/01/17,13:18,13:37,0h 19m,0.2,Pausa,1,SB48RTOMD2026Q01762,"Kufstein, 83088, AT, 27,4 km sur Rosenheim","83088, Kiefersfelden, DE, 27,5 km sur Rosenheim",47615528.0,12202128.0,47615528.0,47614182.0,"182,386","182,386"
driver123,mar 3/01/17,13:37,13:45,0h 08m,8.4,Conduciendo,1,SB48RTOMD2026Q01762,"83088, Kiefersfelden, DE, 27,5 km sur Rosenheim","Kufstein, 6330, AT, 32,3 km sur Rosenheim",47614182.0,12201486.0,47614182.0,47565978.0,"182,386","182,394"
driver123,mar 3/01/17,13:45,13:46,0h 01m,0.1,Otro trabajo,1,SB48RTOMD2026Q01762,"Kufstein, 6330, AT, 32,3 km sur Rosenheim","Kufstein, 6330, AT, 32,3 km sur Rosenheim",47565978.0,12151288.0,47565978.0,47565568.0,"182,394","182,395"
driver123,mar 3/01/17,13:46,14:35,0h 49m,0.1,Pausa,1,SB48RTOMD2026Q01762,"Kufstein, 6330, AT, 32,3 km sur Rosenheim","Kufstein, 6330, AT, 32,4 km sur Rosenheim",47565568.0,12150617.0,47565568.0,47565428.0,"182,395","182,395"
driver123,mar 3/01/17,14:35,17:45,3h 10m,237.7,Conduciendo,1,SB48RTOMD2026Q01762,"Kufstein, 6330, AT, 32,4 km sur Rosenheim","A22/E45 Autostrada Del Brennero, 38015, Trento, IT",47565428.0,12149521.0,47565428.0,46142018.0,"182,395","182,632"
driver123,mar 3/01/17,17:45,18:03,0h 18m,0.0,Pausa,1,SB48RTOMD2026Q01762,"A22/E45 Autostrada Del Brennero, 38015, Trento, IT","A22/E45 Autostrada Del Brennero, 38015, Trento, IT",46142018.0,11086077.0,46142018.0,46142085.0,"182,632","182,632"
driver123,mar 3/01/17,18:12,18:34,0h 22m,0.0,Pausa,1,SB48RTOMD2026Q01762,"A22/E45 Autostrada Del Brennero, 38015, Trento, IT","A22/E45 Autostrada Del Brennero, 38015, Trento, IT",46142041.0,11086057.0,46142041.0,46141993.0,"182,632","182,632"
driver123,mar 3/01/17,18:34,19:30,0h 56m,80.5,Conduciendo,1,SB48RTOMD2026Q01762,"A22/E45 Autostrada Del Brennero, 38015, Trento, IT","37010, IT, 20,0 km noroeste Verona",46141993.0,11085996.0,46141993.0,45540084.0,"182,632","182,713"
driver123,mar 3/01/17,19:30,19:37,0h 07m,0.0,Pausa,1,SB48RTOMD2026Q01762,"37010, IT, 20,0 km noroeste Verona","37010, IT, 20,0 km noroeste Verona",45540084.0,10779231.0,45540084.0,45540077.0,"182,713","182,713"
driver123,mar 3/01/17,19:37,19:38,0h 01m,0.1,Otro trabajo,1,SB48RTOMD2026Q01762,"37010, IT, 20,0 km noroeste Verona","A22/E45 Autostrada Del Brennero, 37010, IT, 20,0 km noroeste Verona",45540077.0,10779209.0,45540077.0,45539438.0,"182,713","182,713"
driver123,mar 3/01/17,19:38,21:41,2h 03m,171.7,Conduciendo,1,SB48RTOMD2026Q01762,"A22/E45 Autostrada Del Brennero, 37010, IT, 20,0 km noroeste Verona","40010, Bologna, IT",45539438.0,10779180.0,45539438.0,44626026.0,"182,713","182,885"
driver123,mar 3/01/17,21:41,21:47,0h 06m,0.0,Pausa,1,SB48RTOMD2026Q01762,"40010, Bologna, IT","40010, Bologna, IT",44626026.0,11383145.0,44626026.0,44626062.0,"182,885","182,885"
driver123,mar 3/01/17,21:47,21:51,0h 04m,0.2,Conduciendo,1,SB48RTOMD2026Q01762,"40010, Bologna, IT","40010, Bologna, IT",44626062.0,11383072.0,44626062.0,44625458.0,"182,885","182,885"
driver123,mar 3/01/17,21:51,22:01,0h 10m,0.1,Otro trabajo,1,SB48RTOMD2026Q01762,"40010, Bologna, IT","40010, Bologna, IT",44625458.0,11382443.0,44625458.0,44626045.0,"182,885","182,885"
driver123,mar 3/01/17,22:01,22:06,0h 05m,1.2,Conduciendo,1,SB48RTOMD2026Q01762,"40010, Bologna, IT","40016, IT, 15,1 km norte Bologna",44626045.0,11383057.0,44626045.0,44628162.0,"182,885","182,886"
driver123,mar 3/01/17,22:06,22:09,0h 03m,0.0,Otro trabajo,1,SB48RTOMD2026Q01762,"40016, IT, 15,1 km norte Bologna","40016, IT, 15,1 km norte Bologna",44628162.0,11381109.0,44628162.0,44628180.0,"182,886","182,886"
driver123,mar 3/01/17,22:09,07:14,9h 05m,0.0,Pausa,1,SB48RTOMD2026Q01762,"40016, IT, 15,1 km norte Bologna","40016, IT, 15,1 km norte Bologna",44628180.0,11381129.0,44628180.0,44628154.0,"182,886","182,886"
driver123,mie 4/01/17,07:14,07:17,0h 03m,0.8,Conduciendo,1,SB48RTOMD2026Q01762,"40016, IT, 15,1 km norte Bologna","40010, Bologna, IT",44628154.0,11381128.0,44628154.0,44625903.0,"182,886","182,887"
driver123,mie 4/01/17,07:17,07:29,0h 12m,0.2,Otro trabajo,1,SB48RTOMD2026Q01762,"40010, Bologna, IT","40010, Bologna, IT",44625903.0,11383553.0,44625903.0,44625485.0,"182,887","182,887"
driver123,mie 4/01/17,07:29,07:30,0h 01m,0.1,Conduciendo,1,SB48RTOMD2026Q01762,"40010, Bologna, IT","40010, Bologna, IT",44625485.0,11382480.0,44625485.0,44626045.0,"182,887","182,887"
driver123,mie 4/01/17,07:30,07:34,0h 04m,0.1,Otro trabajo,1,SB48RTOMD2026Q01762,"40010, Bologna, IT","40010, Bologna, IT",44626045.0,11383308.0,44626045.0,44625728.0,"182,887","182,887"
driver123,mie 4/01/17,07:34,10:31,2h 57m,235.3,Conduciendo,1,SB48RTOMD2026Q01762,"40010, Bologna, IT","60125, Ancona, IT",44625728.0,11384374.0,44625728.0,43615287.0,"182,887","183,123"
