Driver,DateStart,HourStart,HourEnd,Duration,Distance,Status,Profession,Vehicle,PlaceStart,PlaceEnd,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd(WRONG),MilometerStart,MilometerEnd
driver109,lun 2/01/17,16:47,17:36,0h 49m,64.2,Conduciendo,1,SB60ZFO MI5256H00530,"4813, Breda, NL","2550, Kontich, BE, próximo a Antwerpen",51567365.0,4744209.0,51567365.0,51122897.0,"33,927","33,991"
driver109,lun 2/01/17,17:36,17:52,0h 16m,0.1,Pausa,1,SB60ZFO MI5256H00530,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51122897.0,4413850.0,51122897.0,51123001.0,"33,991","33,991"
driver109,lun 2/01/17,17:52,18:00,0h 08m,1.0,Conduciendo,1,SB60ZFO MI5256H00530,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51123001.0,4414337.0,51123001.0,51124803.0,"33,991","33,992"
driver109,lun 2/01/17,18:00,18:02,0h 02m,0.0,Otro trabajo,1,SB60ZFO MI5256H00530,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51124803.0,4416777.0,51124803.0,51124816.0,"33,992","33,992"
driver109,lun 2/01/17,18:02,18:03,0h 01m,0.0,Pausa,1,SB60ZFO MI5256H00530,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51124816.0,4416784.0,51124816.0,51124797.0,"33,992","33,992"
driver109,lun 2/01/17,18:03,18:04,0h 01m,0.0,Otro trabajo,1,SB60ZFO MI5256H00530,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51124797.0,4416786.0,51124797.0,51124780.0,"33,992","33,992"
driver109,lun 2/01/17,18:04,18:13,0h 09m,0.0,Pausa,1,SB60ZFO MI5256H00530,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51124780.0,4416787.0,51124780.0,51124805.0,"33,992","33,992"
driver109,lun 2/01/17,18:13,20:06,1h 53m,0.0,Otro trabajo,1,SB60ZFO MI5256H00530,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51124805.0,4416768.0,51124805.0,51124832.0,"33,992","33,992"
driver109,lun 2/01/17,20:06,20:09,0h 03m,0.4,Conduciendo,1,SB60ZFO MI5256H00530,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51124832.0,4416648.0,51124832.0,51122777.0,"33,992","33,993"
driver109,lun 2/01/17,20:09,20:23,0h 14m,0.1,Pausa,1,SB60ZFO MI5256H00530,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51122777.0,4413392.0,51122777.0,51122938.0,"33,993","33,993"
driver109,lun 2/01/17,20:23,22:44,2h 21m,197.3,Conduciendo,1,SB60ZFO MI5256H00530,"2550, Kontich, BE, próximo a Antwerpen","A2/E19, 62124, FR, 49,7 km este Amiens",51122938.0,4412979.0,51122938.0,50054163.0,"33,993","34,190"
driver109,lun 2/01/17,22:44,22:47,0h 03m,0.0,Otro trabajo,1,SB60ZFO MI5256H00530,"A2/E19, 62124, FR, 49,7 km este Amiens","A2/E19, 62124, FR, 49,7 km este Amiens",50054163.0,2944049.0,50054163.0,50054167.0,"34,190","34,190"
driver109,lun 2/01/17,22:47,23:49,1h 02m,90.3,Conduciendo,1,SB60ZFO MI5256H00530,"A2/E19, 62124, FR, 49,7 km este Amiens","A1/E15/E19 Autoroute Du Nord, 60410, FR, 45,6 km nordeste SaintDenis",50054167.0,2944075.0,50054167.0,49285605.0,"34,190","34,280"
driver109,lun 2/01/17,23:53,23:54,0h 01m,0.0,Pausa,2,SB60ZFO MI5256H00530,"A1/E15/E19 Autoroute Du Nord, 60410, FR, 45,6 km nordeste SaintDenis","A1/E15/E19 Autoroute Du Nord, 60410, FR, 45,6 km nordeste SaintDenis",49285604.0,2692779.0,49285604.0,49285566.0,"34,280","34,280"
