Driver,DateStart,HourStart,HourEnd,Duration,Distance,Status,Profession,Vehicle,PlaceStart,PlaceEnd,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd(WRONG),MilometerStart,MilometerEnd
driver201,lun 2/01/17,18:34,18:49,0h 15m,12.4,Conduciendo,1,SB25RTOMI6086H01465,"13127, Vitrolles, FR, 16,3 km noroeste Marseille","13016, FR, próximo a Marseille",43420043.0,5268330.0,43420043.0,43356074.0,"246,316","246,328"
driver201,lun 2/01/17,18:49,18:51,0h 02m,0.0,Otro trabajo,1,SB25RTOMI6086H01465,"13016, FR, próximo a Marseille","13016, FR, próximo a Marseille",43356074.0,5347595.0,43356074.0,43355794.0,"246,328","246,328"
driver201,lun 2/01/17,18:51,18:52,0h 01m,0.2,Conduciendo,1,SB25RTOMI6086H01465,"13016, FR, próximo a Marseille","13016, FR, próximo a Marseille",43355794.0,5347843.0,43355794.0,43356269.0,"246,328","246,328"
driver201,lun 2/01/17,18:52,18:55,0h 03m,0.0,Otro trabajo,1,SB25RTOMI6086H01465,"13016, FR, próximo a Marseille","13016, FR, próximo a Marseille",43356269.0,5348556.0,43356269.0,43356253.0,"246,328","246,328"
driver201,lun 2/01/17,18:55,18:56,0h 01m,0.0,Conduciendo,1,SB25RTOMI6086H01465,"13016, FR, próximo a Marseille","13016, FR, próximo a Marseille",43356253.0,5348554.0,43356253.0,43356360.0,"246,328","246,328"
driver201,lun 2/01/17,18:56,18:58,0h 02m,0.0,Otro trabajo,1,SB25RTOMI6086H01465,"13016, FR, próximo a Marseille","13016, FR, próximo a Marseille",43356360.0,5348694.0,43356360.0,43356444.0,"246,328","246,328"
driver201,lun 2/01/17,18:58,19:00,0h 02m,0.4,Conduciendo,1,SB25RTOMI6086H01465,"13016, FR, próximo a Marseille","13016, FR, próximo a Marseille",43356444.0,5348672.0,43356444.0,43356014.0,"246,328","246,329"
driver201,lun 2/01/17,19:00,19:03,0h 03m,0.0,Otro trabajo,1,SB25RTOMI6086H01465,"13016, FR, próximo a Marseille","13016, FR, próximo a Marseille",43356014.0,5347739.0,43356014.0,43355730.0,"246,329","246,329"
driver201,lun 2/01/17,19:03,21:19,2h 16m,189.6,Conduciendo,1,SB25RTOMI6086H01465,"13016, FR, próximo a Marseille","26270, LoriolSurDrôme, FR, 20,8 km sur Valence",43355730.0,5347951.0,43355730.0,44754353.0,"246,329","246,518"
driver201,lun 2/01/17,21:19,21:36,0h 17m,0.0,Pausa,1,SB25RTOMI6086H01465,"26270, LoriolSurDrôme, FR, 20,8 km sur Valence","26270, LoriolSurDrôme, FR, 20,8 km sur Valence",44754353.0,4797895.0,44754353.0,44754311.0,"246,518","246,518"
driver201,lun 2/01/17,21:36,22:54,1h 18m,108.4,Conduciendo,1,SB25RTOMI6086H01465,"26270, LoriolSurDrôme, FR, 20,8 km sur Valence","A46/E15/E70 Contournement De Lyon, 69360, Vénissieux, FR, 19,8 km sur Lyon",44754311.0,4797971.0,44754311.0,45589117.0,"246,518","246,627"
driver201,lun 2/01/17,22:59,23:09,0h 10m,0.0,Pausa,2,SB25RTOMI6086H01465,"A46/E15/E70 Contournement De Lyon, 69360, Vénissieux, FR, 19,8 km sur Lyon","A46/E15/E70 Contournement De Lyon, 69360, Vénissieux, FR, 19,8 km sur Lyon",45589065.0,4825662.0,45589065.0,45588923.0,"246,627","246,627"
