Driver,DateStart,HourStart,HourEnd,Duration,Distance,Status,Profession,Vehicle,PlaceStart,PlaceEnd,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd(WRONG),MilometerStart,MilometerEnd
driver248,dom 1/01/17,14:09,14:10,0h 01m,0.0,Pausa,1,SB64ZFO MI5256H00789,"11206, Algeciras, ES","11206, Algeciras, ES",36115552.0,5474276.0,36115552.0,36115601.0,"33,581","33,581"
driver248,dom 1/01/17,14:13,14:14,0h 01m,0.0,Pausa,2,SB64ZFO MI5256H00789,"11206, Algeciras, ES","11206, Algeciras, ES",36115519.0,5474145.0,36115519.0,36115542.0,"33,581","33,581"
driver248,dom 1/01/17,14:14,16:29,2h 15m,97.0,En espera,2,SB64ZFO MI5256H00789,"11206, Algeciras, ES","29604, Marbella, ES",36115542.0,5474175.0,36115542.0,36493565.0,"33,581","33,678"
driver248,dom 1/01/17,16:29,16:56,0h 27m,0.0,Pausa,2,SB64ZFO MI5256H00789,"29604, Marbella, ES","29604, Marbella, ES",36493565.0,4764566.0,36493565.0,36493623.0,"33,678","33,678"
driver248,dom 1/01/17,16:56,19:53,2h 57m,236.5,En espera,2,SB64ZFO MI5256H00789,"29604, Marbella, ES","A4/E5 Autovía Del Sur, 14600, ES, 32,6 km este Córdoba",36493623.0,4764500.0,36493623.0,37993640.0,"33,678","33,915"
driver248,dom 1/01/17,19:53,19:54,0h 01m,0.1,Pausa,2,SB64ZFO MI5256H00789,"A4/E5 Autovía Del Sur, 14600, ES, 32,6 km este Córdoba","A4/E5 Autovía Del Sur, 14600, ES, 32,6 km este Córdoba",37993640.0,4434058.0,37993640.0,37994091.0,"33,915","33,915"
driver248,dom 1/01/17,19:56,19:57,0h 01m,0.0,Pausa,1,SB64ZFO MI5256H00789,"A4/E5 Autovía Del Sur, 14600, ES, 32,6 km este Córdoba","A4/E5 Autovía Del Sur, 14600, ES, 32,6 km este Córdoba",37994099.0,4433492.0,37994099.0,37994112.0,"33,915","33,915"
driver248,dom 1/01/17,19:57,22:31,2h 34m,212.0,Conduciendo,1,SB64ZFO MI5256H00789,"A4/E5 Autovía Del Sur, 14600, ES, 32,6 km este Córdoba","A4/E5 Autovía Del Sur, 13210, ES, 52,4 km nordeste Ciudad Real",37994112.0,4433507.0,37994112.0,39274610.0,"33,915","34,127"
driver248,dom 1/01/17,22:35,23:26,0h 51m,46.4,En espera,2,SB64ZFO MI5256H00789,"A4/E5 Autovía Del Sur, 13210, ES, 52,4 km nordeste Ciudad Real","45860, Villacañas, ES, 64,3 km sudeste Toledo",39274595.0,3446539.0,39274595.0,39614804.0,"34,127","34,173"
driver248,dom 1/01/17,23:26,01:33,2h 07m,0.0,Pausa,2,SB64ZFO MI5256H00789,"45860, Villacañas, ES, 64,3 km sudeste Toledo","45860, Villacañas, ES, 64,3 km sudeste Toledo",39614804.0,3341128.0,39614804.0,39614996.0,"34,173","34,173"
driver248,lun 2/01/17,01:33,04:04,2h 31m,127.2,En espera,2,SB64ZFO MI5256H00789,"45860, Villacañas, ES, 64,3 km sudeste Toledo","28830, San Fernando De Henares, ES, próximo a Torrejón De Ardoz",39614996.0,3341040.0,39614996.0,40448756.0,"34,173","34,301"
driver248,lun 2/01/17,04:04,17:22,13h 18m,0.0,Pausa,2,SB64ZFO MI5256H00789,"28830, San Fernando De Henares, ES, próximo a Torrejón De Ardoz","28830, San Fernando De Henares, ES, próximo a Torrejón De Ardoz",40448756.0,3490473.0,40448756.0,40448795.0,"34,301","34,301"
driver248,lun 2/01/17,17:22,17:51,0h 29m,32.6,En espera,2,SB64ZFO MI5256H00789,"28830, San Fernando De Henares, ES, próximo a Torrejón De Ardoz","Arganda Del Rey, 28540, ES, 24,1 km sur Torrejón De Ardoz",40448795.0,3490371.0,40448795.0,40256977.0,"34,301","34,333"
driver248,lun 2/01/17,17:51,18:15,0h 24m,0.0,Pausa,2,SB64ZFO MI5256H00789,"Arganda Del Rey, 28540, ES, 24,1 km sur Torrejón De Ardoz","Arganda Del Rey, 28540, ES, 24,1 km sur Torrejón De Ardoz",40256977.0,3376073.0,40256977.0,40257043.0,"34,333","34,333"
driver248,lun 2/01/17,18:15,21:41,3h 26m,299.3,En espera,2,SB64ZFO MI5256H00789,"Arganda Del Rey, 28540, ES, 24,1 km sur Torrejón De Ardoz","Torrent, 46370, ES, 18,2 km oeste Valencia",40257043.0,3376063.0,40257043.0,39475722.0,"34,333","34,632"
driver248,lun 2/01/17,21:41,22:04,0h 23m,0.0,Pausa,2,SB64ZFO MI5256H00789,"Torrent, 46370, ES, 18,2 km oeste Valencia","Torrent, 46370, ES, 18,2 km oeste Valencia",39475722.0,589291.0,39475722.0,39475767.0,"34,632","34,632"
driver248,lun 2/01/17,22:04,22:06,0h 02m,0.2,En espera,2,SB64ZFO MI5256H00789,"Torrent, 46370, ES, 18,2 km oeste Valencia","Torrent, 46370, ES, 18,3 km oeste Valencia",39475767.0,589384.0,39475767.0,39476250.0,"34,632","34,633"
driver248,lun 2/01/17,22:06,22:07,0h 01m,0.0,Pausa,2,SB64ZFO MI5256H00789,"Torrent, 46370, ES, 18,3 km oeste Valencia","Torrent, 46370, ES, 18,3 km oeste Valencia",39476250.0,589598.0,39476250.0,39476245.0,"34,633","34,633"
driver248,lun 2/01/17,22:09,22:17,0h 08m,0.1,Pausa,1,SB64ZFO MI5256H00789,"Torrent, 46370, ES, 18,3 km oeste Valencia","Torrent, 46370, ES, 18,2 km oeste Valencia",39476206.0,589568.0,39476206.0,39475738.0,"34,633","34,633"
driver248,lun 2/01/17,22:17,23:34,1h 17m,87.5,Conduciendo,1,SB64ZFO MI5256H00789,"Torrent, 46370, ES, 18,2 km oeste Valencia","46720, Vilallonga/Villalonga, ES, 66,2 km sur Valencia",39475738.0,589059.0,39475738.0,38889314.0,"34,633","34,720"
driver248,lun 2/01/17,23:34,08:38,9h 04m,0.0,Pausa,1,SB64ZFO MI5256H00789,"46720, Vilallonga/Villalonga, ES, 66,2 km sur Valencia","46720, Vilallonga/Villalonga, ES, 66,2 km sur Valencia",38889314.0,205756.0,38889314.0,38889536.0,"34,720","34,720"
driver248,mar 3/01/17,08:38,08:41,0h 03m,0.3,Conduciendo,1,SB64ZFO MI5256H00789,"46720, Vilallonga/Villalonga, ES, 66,2 km sur Valencia","46720, Vilallonga/Villalonga, ES, 66,2 km sur Valencia",38889536.0,205631.0,38889536.0,38889254.0,"34,720","34,721"
driver248,mar 3/01/17,08:41,08:42,0h 01m,0.0,Otro trabajo,1,SB64ZFO MI5256H00789,"46720, Vilallonga/Villalonga, ES, 66,2 km sur Valencia","46720, Vilallonga/Villalonga, ES, 66,2 km sur Valencia",38889254.0,205474.0,38889254.0,38889179.0,"34,721","34,721"
driver248,mar 3/01/17,08:42,09:13,0h 31m,0.0,Pausa,1,SB64ZFO MI5256H00789,"46720, Vilallonga/Villalonga, ES, 66,2 km sur Valencia","46720, Vilallonga/Villalonga, ES, 66,2 km sur Valencia",38889179.0,205455.0,38889179.0,38889158.0,"34,721","34,721"
driver248,mar 3/01/17,09:13,09:30,0h 17m,0.0,Otro trabajo,1,SB64ZFO MI5256H00789,"46720, Vilallonga/Villalonga, ES, 66,2 km sur Valencia","46720, Vilallonga/Villalonga, ES, 66,2 km sur Valencia",38889158.0,205433.0,38889158.0,38889181.0,"34,721","34,721"
driver248,mar 3/01/17,09:30,09:33,0h 03m,0.0,Pausa,1,SB64ZFO MI5256H00789,"46720, Vilallonga/Villalonga, ES, 66,2 km sur Valencia","46720, Vilallonga/Villalonga, ES, 66,2 km sur Valencia",38889181.0,205413.0,38889181.0,38889340.0,"34,721","34,721"
driver248,mar 3/01/17,09:33,09:34,0h 01m,0.1,Conduciendo,1,SB64ZFO MI5256H00789,"46720, Vilallonga/Villalonga, ES, 66,2 km sur Valencia","46720, Vilallonga/Villalonga, ES, 66,2 km sur Valencia",38889340.0,205474.0,38889340.0,38889625.0,"34,721","34,721"
