Driver,DateStart,HourStart,HourEnd,Duration,Distance,Status,Profession,Vehicle,PlaceStart,PlaceEnd,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd(WRONG),MilometerStart,MilometerEnd
driver48,mar 3/01/17,16:20,16:21,0h 01m,0.0,Pausa,1,SB29TLSMD2026Q01765,"29002, Málaga, ES","29002, Málaga, ES",36708183.0,4424169.0,36708183.0,36708165.0,"516,684","516,684"
driver48,mar 3/01/17,16:21,16:22,0h 01m,0.0,Conduciendo,1,SB29TLSMD2026Q01765,"29002, Málaga, ES","29002, Málaga, ES",36708165.0,4424189.0,36708165.0,36708168.0,"516,684","516,684"
driver48,mar 3/01/17,16:22,16:41,0h 19m,0.0,Pausa,1,SB29TLSMD2026Q01765,"29002, Málaga, ES","29002, Málaga, ES",36708168.0,4424183.0,36708168.0,36708159.0,"516,684","516,684"
driver48,mie 4/01/17,07:26,07:30,0h 04m,0.0,Pausa,1,SB29TLSMD2026Q01765,"29002, Málaga, ES","29002, Málaga, ES",36708032.0,4424223.0,36708032.0,36708031.0,"516,684","516,684"
driver48,mie 4/01/17,07:30,07:54,0h 24m,13.2,Conduciendo,1,SB29TLSMD2026Q01765,"29002, Málaga, ES","29004, Málaga, ES",36708031.0,4424219.0,36708031.0,36704249.0,"516,684","516,698"
driver48,mie 4/01/17,07:54,07:57,0h 03m,0.0,Otro trabajo,1,SB29TLSMD2026Q01765,"29004, Málaga, ES","29004, Málaga, ES",36704249.0,4511494.0,36704249.0,36704268.0,"516,698","516,698"
driver48,mie 4/01/17,07:57,07:58,0h 01m,0.1,Conduciendo,1,SB29TLSMD2026Q01765,"29004, Málaga, ES","29004, Málaga, ES",36704268.0,4510978.0,36704268.0,36704255.0,"516,698","516,698"
driver48,mie 4/01/17,07:58,08:04,0h 06m,0.0,Otro trabajo,1,SB29TLSMD2026Q01765,"29004, Málaga, ES","29004, Málaga, ES",36704255.0,4509992.0,36704255.0,36704335.0,"516,698","516,698"
driver48,mie 4/01/17,08:04,08:05,0h 01m,0.0,Conduciendo,1,SB29TLSMD2026Q01765,"29004, Málaga, ES","29004, Málaga, ES",36704335.0,4509866.0,36704335.0,36704207.0,"516,698","516,698"
driver48,mie 4/01/17,08:05,08:08,0h 03m,0.1,Pausa,1,SB29TLSMD2026Q01765,"29004, Málaga, ES","29004, Málaga, ES",36704207.0,4510265.0,36704207.0,36704283.0,"516,698","516,698"
driver48,mie 4/01/17,08:08,08:10,0h 02m,0.0,Conduciendo,1,SB29TLSMD2026Q01765,"29004, Málaga, ES","29004, Málaga, ES",36704283.0,4510146.0,36704283.0,36704173.0,"516,698","516,698"
driver48,mie 4/01/17,08:10,08:12,0h 02m,0.0,Otro trabajo,1,SB29TLSMD2026Q01765,"29004, Málaga, ES","29004, Málaga, ES",36704173.0,4510263.0,36704173.0,36704156.0,"516,698","516,698"
driver48,mie 4/01/17,08:12,08:14,0h 02m,0.0,Conduciendo,1,SB29TLSMD2026Q01765,"29004, Málaga, ES","29004, Málaga, ES",36704156.0,4510336.0,36704156.0,36704068.0,"516,698","516,698"
driver48,mie 4/01/17,08:14,14:31,6h 17m,0.0,Pausa,1,SB29TLSMD2026Q01765,"29004, Málaga, ES","29004, Málaga, ES",36704068.0,4510151.0,36704068.0,36704601.0,"516,698","516,698"
driver48,mie 4/01/17,14:31,14:32,0h 01m,0.0,Conduciendo,1,SB29TLSMD2026Q01765,"29004, Málaga, ES","29004, Málaga, ES",36704601.0,4510692.0,36704601.0,36704240.0,"516,698","516,698"
driver48,mie 4/01/17,14:32,14:36,0h 04m,0.0,Otro trabajo,1,SB29TLSMD2026Q01765,"29004, Málaga, ES","29004, Málaga, ES",36704240.0,4510415.0,36704240.0,36704238.0,"516,698","516,698"
driver48,mie 4/01/17,14:36,15:07,0h 31m,12.8,Conduciendo,1,SB29TLSMD2026Q01765,"29004, Málaga, ES","29002, Málaga, ES",36704238.0,4510288.0,36704238.0,36707487.0,"516,698","516,711"
driver48,mie 4/01/17,15:07,15:09,0h 02m,0.0,Otro trabajo,1,SB29TLSMD2026Q01765,"29002, Málaga, ES","29002, Málaga, ES",36707487.0,4428315.0,36707487.0,36707372.0,"516,711","516,711"
driver48,mie 4/01/17,15:09,15:12,0h 03m,0.8,Conduciendo,1,SB29TLSMD2026Q01765,"29002, Málaga, ES","29002, Málaga, ES",36707372.0,4428371.0,36707372.0,36707254.0,"516,711","516,711"
driver48,mie 4/01/17,15:12,15:16,0h 04m,0.0,Pausa,1,SB29TLSMD2026Q01765,"29002, Málaga, ES","29002, Málaga, ES",36707254.0,4425173.0,36707254.0,36707256.0,"516,711","516,711"
driver48,mie 4/01/17,15:16,15:23,0h 07m,1.3,Conduciendo,1,SB29TLSMD2026Q01765,"29002, Málaga, ES","Málaga, ES",36707256.0,4425227.0,36707256.0,36704898.0,"516,711","516,713"
driver48,mie 4/01/17,15:23,15:31,0h 08m,0.2,Otro trabajo,1,SB29TLSMD2026Q01765,"Málaga, ES","Málaga, ES",36704898.0,4421527.0,36704898.0,36703903.0,"516,713","516,713"
driver48,mie 4/01/17,15:31,15:32,0h 01m,0.1,Conduciendo,1,SB29TLSMD2026Q01765,"Málaga, ES","Málaga, ES",36703903.0,4421842.0,36703903.0,36703538.0,"516,713","516,713"
driver48,mie 4/01/17,15:32,15:36,0h 04m,0.2,Otro trabajo,1,SB29TLSMD2026Q01765,"Málaga, ES","Málaga, ES",36703538.0,4421912.0,36703538.0,36701873.0,"516,713","516,713"
driver48,mie 4/01/17,15:36,15:41,0h 05m,1.2,Conduciendo,1,SB29TLSMD2026Q01765,"Málaga, ES","29002, Málaga, ES",36701873.0,4422150.0,36701873.0,36708122.0,"516,713","516,715"
driver48,jue 5/01/17,06:12,06:15,0h 03m,0.0,Pausa,1,SB29TLSMD2026Q01765,"29002, Málaga, ES","29002, Málaga, ES",36708076.0,4424236.0,36708076.0,36707917.0,"516,715","516,715"
driver48,jue 5/01/17,06:15,07:43,1h 28m,97.8,Conduciendo,1,SB29TLSMD2026Q01765,"29002, Málaga, ES","14900, ES, 63,8 km sudeste Córdoba",36707917.0,4424616.0,36707917.0,37358998.0,"516,715","516,812"
driver48,jue 5/01/17,07:43,08:03,0h 20m,0.0,Pausa,1,SB29TLSMD2026Q01765,"14900, ES, 63,8 km sudeste Córdoba","14900, ES, 63,8 km sudeste Córdoba",37358998.0,4487543.0,37358998.0,37359188.0,"516,812","516,812"
driver48,jue 5/01/17,08:03,08:04,0h 01m,0.0,Otro trabajo,1,SB29TLSMD2026Q01765,"14900, ES, 63,8 km sudeste Córdoba","14900, ES, 63,8 km sudeste Córdoba",37359188.0,4487605.0,37359188.0,37359158.0,"516,812","516,812"
driver48,jue 5/01/17,08:04,08:42,0h 38m,0.0,Pausa,1,SB29TLSMD2026Q01765,"14900, ES, 63,8 km sudeste Córdoba","14900, ES, 63,8 km sudeste Córdoba",37359158.0,4487672.0,37359158.0,37359106.0,"516,812","516,812"
driver48,jue 5/01/17,08:42,08:45,0h 03m,0.0,Otro trabajo,1,SB29TLSMD2026Q01765,"14900, ES, 63,8 km sudeste Córdoba","14900, ES, 63,8 km sudeste Córdoba",37359106.0,4487637.0,37359106.0,37358989.0,"516,812","516,812"
driver48,jue 5/01/17,08:45,08:47,0h 02m,0.3,Conduciendo,1,SB29TLSMD2026Q01765,"14900, ES, 63,8 km sudeste Córdoba","14900, ES, 63,7 km sudeste Córdoba",37358989.0,4487744.0,37358989.0,37360266.0,"516,812","516,813"
driver48,jue 5/01/17,08:47,10:01,1h 14m,0.0,Pausa,1,SB29TLSMD2026Q01765,"14900, ES, 63,7 km sudeste Córdoba","14900, ES, 63,7 km sudeste Córdoba",37360266.0,4487380.0,37360266.0,37360428.0,"516,813","516,813"
driver48,jue 5/01/17,10:01,11:13,1h 12m,94.8,Conduciendo,1,SB29TLSMD2026Q01765,"14900, ES, 63,7 km sudeste Córdoba","29004, Málaga, ES",37360428.0,4487278.0,37360428.0,36690487.0,"516,813","516,908"
driver48,jue 5/01/17,11:13,11:27,0h 14m,0.0,Pausa,1,SB29TLSMD2026Q01765,"29004, Málaga, ES","29004, Málaga, ES",36690487.0,4482828.0,36690487.0,36690465.0,"516,908","516,908"
driver48,jue 5/01/17,11:27,11:28,0h 01m,0.0,Otro trabajo,1,SB29TLSMD2026Q01765,"29004, Málaga, ES","29004, Málaga, ES",36690465.0,4482769.0,36690465.0,36690387.0,"516,908","516,908"
