Driver,DateStart,HourStart,HourEnd,Duration,Distance,Status,Profession,Vehicle,PlaceStart,PlaceEnd,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd(WRONG),MilometerStart,MilometerEnd
driver209,dom 1/01/17,00:39,00:44,0h 05m,0.1,Otro trabajo,1,SB42RTOMD2026Q01810,"D5/E50, 34806, Tachov, CZ, 62,1 km oeste Plzen","D5/E50, 34806, Tachov, CZ, 62,1 km oeste Plzen",49643898.0,12527527.0,49643898.0,49644189.0,"186,870","186,870"
driver209,dom 1/01/17,00:44,01:33,0h 49m,68.2,Conduciendo,1,SB42RTOMD2026Q01810,"D5/E50, 34806, Tachov, CZ, 62,1 km oeste Plzen","D5/E50, 32100, Plzen, CZ",49644189.0,12528297.0,49644189.0,49676908.0,"186,870","186,938"
driver209,dom 1/01/17,01:33,01:46,0h 13m,0.1,Otro trabajo,1,SB42RTOMD2026Q01810,"D5/E50, 32100, Plzen, CZ","D5/E50, 32100, Plzen, CZ",49676908.0,13324434.0,49676908.0,49677013.0,"186,938","186,938"
driver209,dom 1/01/17,01:46,02:54,1h 08m,93.8,Conduciendo,1,SB42RTOMD2026Q01810,"D5/E50, 32100, Plzen, CZ","D5/E50, 25219, Beroun, CZ, 15,8 km oeste Praha",49677013.0,13326190.0,49677013.0,50034541.0,"186,938","187,032"
driver209,dom 1/01/17,02:54,02:56,0h 02m,0.0,Otro trabajo,1,SB42RTOMD2026Q01810,"D5/E50, 25219, Beroun, CZ, 15,8 km oeste Praha","D5/E50, 25219, Beroun, CZ, 15,8 km oeste Praha",50034541.0,14214952.0,50034541.0,50034314.0,"187,032","187,032"
driver209,dom 1/01/17,02:56,03:02,0h 06m,0.2,Conduciendo,1,SB42RTOMD2026Q01810,"D5/E50, 25219, Beroun, CZ, 15,8 km oeste Praha","D5/E50, 25219, Beroun, CZ, 15,8 km oeste Praha",50034314.0,14214638.0,50034314.0,50034707.0,"187,032","187,032"
driver209,dom 1/01/17,03:02,03:15,0h 13m,0.1,Otro trabajo,1,SB42RTOMD2026Q01810,"D5/E50, 25219, Beroun, CZ, 15,8 km oeste Praha","D5/E50, 25219, Beroun, CZ, 15,8 km oeste Praha",50034707.0,14215101.0,50034707.0,50034331.0,"187,032","187,032"
driver209,dom 1/01/17,03:15,21:19,66h 04m,0.0,Pausa,1,SB42RTOMD2026Q01810,"D5/E50, 25219, Beroun, CZ, 15,8 km oeste Praha","D5/E50, 25219, Beroun, CZ, 15,8 km oeste Praha",50034331.0,14214774.0,50034331.0,50034289.0,"187,032","187,032"
driver209,mar 3/01/17,21:19,23:08,1h 49m,130.9,Conduciendo,1,SB42RTOMD2026Q01810,"D5/E50, 25219, Beroun, CZ, 15,8 km oeste Praha","Kutná Hora, CZ, 37,0 km oeste Pardubice",50034289.0,14214803.0,50034289.0,49940215.0,"187,032","187,163"
driver209,mar 3/01/17,23:08,23:14,0h 06m,0.0,Otro trabajo,1,SB42RTOMD2026Q01810,"Kutná Hora, CZ, 37,0 km oeste Pardubice","Kutná Hora, CZ, 37,0 km oeste Pardubice",49940215.0,15285538.0,49940215.0,49940172.0,"187,163","187,163"
driver209,mar 3/01/17,23:14,23:17,0h 03m,0.3,Conduciendo,1,SB42RTOMD2026Q01810,"Kutná Hora, CZ, 37,0 km oeste Pardubice","Kutná Hora, CZ, 36,8 km oeste Pardubice",49940172.0,15285645.0,49940172.0,49940605.0,"187,163","187,163"
driver209,mar 3/01/17,23:17,23:20,0h 03m,0.0,Otro trabajo,1,SB42RTOMD2026Q01810,"Kutná Hora, CZ, 36,8 km oeste Pardubice","Kutná Hora, CZ, 36,8 km oeste Pardubice",49940605.0,15287759.0,49940605.0,49940601.0,"187,163","187,163"
driver209,mar 3/01/17,23:20,08:30,9h 10m,0.0,Pausa,1,SB42RTOMD2026Q01810,"Kutná Hora, CZ, 36,8 km oeste Pardubice","Kutná Hora, CZ, 36,8 km oeste Pardubice",49940601.0,15287766.0,49940601.0,49940598.0,"187,163","187,163"
