Driver,DateStart,HourStart,HourEnd,Duration,Distance,Status,Profession,Vehicle,PlaceStart,PlaceEnd,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd(WRONG),MilometerStart,MilometerEnd
driver199,lun 2/01/17,05:44,06:03,0h 19m,20.3,Conduciendo,1,SB44RTO MD2026Q01351,"A14/E17, 9150, Antwerpen, BE","2550, Kontich, BE, próximo a Antwerpen",51184900.0,4291359.0,51184900.0,51122935.0,"160,586","160,606"
driver199,lun 2/01/17,06:03,06:13,0h 10m,0.0,Otro trabajo,1,SB44RTO MD2026Q01351,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51122935.0,4413949.0,51122935.0,51122938.0,"160,606","160,606"
driver199,lun 2/01/17,06:13,06:19,0h 06m,1.0,Conduciendo,1,SB44RTO MD2026Q01351,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51122938.0,4414035.0,51122938.0,51124444.0,"160,606","160,607"
driver199,lun 2/01/17,06:19,06:27,0h 08m,0.1,Otro trabajo,1,SB44RTO MD2026Q01351,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51124444.0,4415663.0,51124444.0,51124439.0,"160,607","160,607"
driver199,lun 2/01/17,06:27,06:29,0h 02m,0.0,Conduciendo,1,SB44RTO MD2026Q01351,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51124439.0,4415564.0,51124439.0,51124539.0,"160,607","160,607"
driver199,lun 2/01/17,06:29,06:55,0h 26m,0.0,Pausa,1,SB44RTO MD2026Q01351,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51124539.0,4415836.0,51124539.0,51124507.0,"160,607","160,607"
driver199,lun 2/01/17,06:55,06:59,0h 04m,0.0,Otro trabajo,1,SB44RTO MD2026Q01351,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51124507.0,4415803.0,51124507.0,51124521.0,"160,607","160,607"
driver199,lun 2/01/17,06:59,07:00,0h 01m,0.2,Conduciendo,1,SB44RTO MD2026Q01351,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51124521.0,4415845.0,51124521.0,51123544.0,"160,607","160,608"
driver199,lun 2/01/17,07:00,07:05,0h 05m,0.1,Otro trabajo,1,SB44RTO MD2026Q01351,"2550, Kontich, BE, próximo a Antwerpen","2550, Kontich, BE, próximo a Antwerpen",51123544.0,4413838.0,51123544.0,51123023.0,"160,608","160,608"
driver199,lun 2/01/17,07:05,10:52,3h 47m,318.5,Conduciendo,1,SB44RTO MD2026Q01351,"2550, Kontich, BE, próximo a Antwerpen","A1/E15/E19 Autoroute Du Nord, 95470, Sarcelles, FR, 20,3 km nordeste SaintDenis",51123023.0,4413257.0,51123023.0,49072654.0,"160,608","160,926"
driver199,lun 2/01/17,10:52,11:24,0h 32m,0.0,Pausa,1,SB44RTO MD2026Q01351,"A1/E15/E19 Autoroute Du Nord, 95470, Sarcelles, FR, 20,3 km nordeste SaintDenis","A1/E15/E19 Autoroute Du Nord, 95470, Sarcelles, FR, 20,3 km nordeste SaintDenis",49072654.0,2549857.0,49072654.0,49072693.0,"160,926","160,926"
driver199,lun 2/01/17,11:24,11:41,0h 17m,16.2,Conduciendo,1,SB44RTO MD2026Q01351,"A1/E15/E19 Autoroute Du Nord, 95470, Sarcelles, FR, 20,3 km nordeste SaintDenis","A1/E15/E19 Autoroute Du Nord, 95470, AulnaySousBois, FR, 20,4 km nordeste SaintDenis",49072693.0,2549915.0,49072693.0,49072028.0,"160,926","160,942"
driver199,lun 2/01/17,11:41,11:46,0h 05m,0.0,Pausa,1,SB44RTO MD2026Q01351,"A1/E15/E19 Autoroute Du Nord, 95470, AulnaySousBois, FR, 20,4 km nordeste SaintDenis","A1/E15/E19 Autoroute Du Nord, 95470, AulnaySousBois, FR, 20,5 km nordeste SaintDenis",49072028.0,2553721.0,49072028.0,49072290.0,"160,942","160,942"
driver199,lun 2/01/17,11:46,11:47,0h 01m,0.2,Conduciendo,1,SB44RTO MD2026Q01351,"A1/E15/E19 Autoroute Du Nord, 95470, AulnaySousBois, FR, 20,5 km nordeste SaintDenis","A1/E15/E19 Autoroute Du Nord, 95470, AulnaySousBois, FR, 20,6 km nordeste SaintDenis",49072290.0,2553669.0,49072290.0,49073924.0,"160,942","160,943"
driver199,lun 2/01/17,11:47,23:49,12h 02m,0.1,Pausa,1,SB44RTO MD2026Q01351,"A1/E15/E19 Autoroute Du Nord, 95470, AulnaySousBois, FR, 20,6 km nordeste SaintDenis","A1/E15/E19 Autoroute Du Nord, 95470, AulnaySousBois, FR, 20,6 km nordeste SaintDenis",49073924.0,2553309.0,49073924.0,49073998.0,"160,943","160,943"
driver199,lun 2/01/17,23:49,23:55,0h 06m,0.0,Otro trabajo,1,SB44RTO MD2026Q01351,"A1/E15/E19 Autoroute Du Nord, 95470, AulnaySousBois, FR, 20,6 km nordeste SaintDenis","A1/E15/E19 Autoroute Du Nord, 95470, Sarcelles, FR, 20,6 km nordeste SaintDenis",49073998.0,2553304.0,49073998.0,49074052.0,"160,943","160,943"
driver199,lun 2/01/17,23:55,00:21,0h 26m,33.1,Conduciendo,1,SB44RTO MD2026Q01351,"A1/E15/E19 Autoroute Du Nord, 95470, Sarcelles, FR, 20,6 km nordeste SaintDenis","60126, FR, 46,4 km este Beauvais",49074052.0,2553251.0,49074052.0,49319569.0,"160,943","160,976"
driver199,mar 3/01/17,00:21,00:41,0h 20m,0.0,Pausa,1,SB44RTO MD2026Q01351,"60126, FR, 46,4 km este Beauvais","60126, FR, 46,4 km este Beauvais",49319569.0,2700050.0,49319569.0,49319602.0,"160,976","160,976"
driver199,mar 3/01/17,00:41,00:49,0h 08m,0.1,Otro trabajo,1,SB44RTO MD2026Q01351,"60126, FR, 46,4 km este Beauvais","60126, FR, 46,5 km este Beauvais",49319602.0,2700110.0,49319602.0,49319866.0,"160,976","160,976"
driver199,mar 3/01/17,00:49,00:54,0h 05m,4.0,Conduciendo,1,SB44RTO MD2026Q01351,"60126, FR, 46,5 km este Beauvais","A1/E15/E19 Autoroute Du Nord, 60710, FR, 45,7 km este Beauvais",49319866.0,2700813.0,49319866.0,49342782.0,"160,976","160,980"
driver199,mar 3/01/17,00:54,01:07,0h 13m,0.0,Pausa,1,SB44RTO MD2026Q01351,"A1/E15/E19 Autoroute Du Nord, 60710, FR, 45,7 km este Beauvais","A1/E15/E19 Autoroute Du Nord, 60710, FR, 45,7 km este Beauvais",49342782.0,2698165.0,49342782.0,49343192.0,"160,980","160,980"
driver199,mar 3/01/17,01:07,03:47,2h 40m,228.6,Conduciendo,1,SB44RTO MD2026Q01351,"A1/E15/E19 Autoroute Du Nord, 60710, FR, 45,7 km este Beauvais","Calais, 62100, FR, 43,1 km sudeste Dover",49343192.0,2698348.0,49343192.0,50968674.0,"160,980","161,208"
driver199,mar 3/01/17,03:47,03:52,0h 05m,0.0,Otro trabajo,1,SB44RTO MD2026Q01351,"Calais, 62100, FR, 43,1 km sudeste Dover","Calais, 62100, FR, 43,0 km sudeste Dover",50968674.0,1871682.0,50968674.0,50968706.0,"161,208","161,208"
driver199,mar 3/01/17,03:52,03:53,0h 01m,0.0,Conduciendo,1,SB44RTO MD2026Q01351,"Calais, 62100, FR, 43,0 km sudeste Dover","Calais, 62100, FR, 43,0 km sudeste Dover",50968706.0,1871054.0,50968706.0,50968774.0,"161,208","161,208"
driver199,mar 3/01/17,03:53,03:55,0h 02m,0.0,Pausa,1,SB44RTO MD2026Q01351,"Calais, 62100, FR, 43,0 km sudeste Dover","Calais, 62100, FR, 43,0 km sudeste Dover",50968774.0,1870695.0,50968774.0,50968661.0,"161,208","161,208"
driver199,mar 3/01/17,03:55,03:56,0h 01m,0.1,Conduciendo,1,SB44RTO MD2026Q01351,"Calais, 62100, FR, 43,0 km sudeste Dover","Calais, 62100, FR, 42,9 km sudeste Dover",50968661.0,1870486.0,50968661.0,50968546.0,"161,208","161,209"
driver199,mar 3/01/17,03:56,04:00,0h 04m,0.3,Otro trabajo,1,SB44RTO MD2026Q01351,"Calais, 62100, FR, 42,9 km sudeste Dover","Calais, 62100, FR, 42,6 km sudeste Dover",50968546.0,1868614.0,50968546.0,50968288.0,"161,209","161,209"
driver199,mar 3/01/17,04:00,04:06,0h 06m,1.1,Conduciendo,1,SB44RTO MD2026Q01351,"Calais, 62100, FR, 42,6 km sudeste Dover","Calais, 62100, FR, 42,0 km sudeste Dover",50968288.0,1864904.0,50968288.0,50967157.0,"161,209","161,210"
