Driver,DateStart,HourStart,HourEnd,Duration,Distance,Status,Profession,Vehicle,PlaceStart,PlaceEnd,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd(WRONG),MilometerStart,MilometerEnd
driver273,dom 1/01/17,01:19,01:41,0h 22m,0.1,Pausa,2,SB73ZFO MI5256H00711,"A1/E5/E80 Autovía Del Norte, 01196, VitoriaGasteiz, ES","A1/E5/E80 Autovía Del Norte, 01196, VitoriaGasteiz, ES",42877813.0,2714111.0,42877813.0,42877525.0,"34,258","34,258"
driver273,dom 1/01/17,01:41,01:43,0h 02m,0.2,En espera,2,SB73ZFO MI5256H00711,"A1/E5/E80 Autovía Del Norte, 01196, VitoriaGasteiz, ES","A1/E5/E80 Autovía Del Norte, 01196, VitoriaGasteiz, ES",42877525.0,2714561.0,42877525.0,42877376.0,"34,258","34,258"
driver273,dom 1/01/17,01:43,11:06,9h 23m,0.1,Pausa,2,SB73ZFO MI5256H00711,"A1/E5/E80 Autovía Del Norte, 01196, VitoriaGasteiz, ES","A1/E5/E80 Autovía Del Norte, 01196, VitoriaGasteiz, ES",42877376.0,2714916.0,42877376.0,42877226.0,"34,258","34,258"
driver273,dom 1/01/17,11:06,15:26,4h 20m,374.0,En espera,2,SB73ZFO MI5256H00711,"A1/E5/E80 Autovía Del Norte, 01196, VitoriaGasteiz, ES","37796, Salamanca, ES",42877226.0,2714508.0,42877226.0,40893838.0,"34,258","34,632"
driver273,dom 1/01/17,15:26,15:27,0h 01m,0.0,Pausa,2,SB73ZFO MI5256H00711,"37796, Salamanca, ES","37796, Salamanca, ES",40893838.0,5658266.0,40893838.0,40893825.0,"34,632","34,632"
driver273,dom 1/01/17,15:30,15:34,0h 04m,0.0,Pausa,1,SB73ZFO MI5256H00711,"37796, Salamanca, ES","37796, Salamanca, ES",40893868.0,5658118.0,40893868.0,40893854.0,"34,632","34,632"
driver273,dom 1/01/17,15:34,19:30,3h 56m,337.6,Conduciendo,1,SB73ZFO MI5256H00711,"37796, Salamanca, ES","06249, ES, 66,8 km sur Mérida",40893854.0,5658120.0,40893854.0,38315697.0,"34,632","34,970"
driver273,dom 1/01/17,19:36,20:02,0h 26m,34.7,En espera,2,SB73ZFO MI5256H00711,"06249, ES, 66,8 km sur Mérida","06260, ES, 74,5 km norte Sevilla",38315675.0,6302527.0,38315675.0,38029493.0,"34,970","35,005"
driver273,dom 1/01/17,20:02,20:36,0h 34m,0.1,Pausa,2,SB73ZFO MI5256H00711,"06260, ES, 74,5 km norte Sevilla","06260, ES, 74,6 km norte Sevilla",38029493.0,6220255.0,38029493.0,38029653.0,"35,005","35,005"
driver273,dom 1/01/17,20:36,21:22,0h 46m,57.6,En espera,2,SB73ZFO MI5256H00711,"06260, ES, 74,6 km norte Sevilla","41210, ES, 23,2 km noroeste Sevilla",38029653.0,6221075.0,38029653.0,37571046.0,"35,005","35,062"
driver273,dom 1/01/17,21:22,11:22,14h 00m,0.1,Pausa,2,SB73ZFO MI5256H00711,"41210, ES, 23,2 km noroeste Sevilla","41210, ES, 23,2 km noroeste Sevilla",37571046.0,6108726.0,37571046.0,37571596.0,"35,062","35,062"
driver273,lun 2/01/17,11:22,13:06,1h 44m,119.4,En espera,2,SB73ZFO MI5256H00711,"41210, ES, 23,2 km noroeste Sevilla","41640, ES, 70,5 km este Dos Hermanas",37571596.0,6108341.0,37571596.0,37237160.0,"35,062","35,182"
driver273,lun 2/01/17,13:06,13:11,0h 05m,0.0,Pausa,2,SB73ZFO MI5256H00711,"41640, ES, 70,5 km este Dos Hermanas","41640, ES, 70,5 km este Dos Hermanas",37237160.0,5126995.0,37237160.0,37237183.0,"35,182","35,182"
