Driver,Activity,Day,DayType,Sequence,BreakType,Token,Legal,Cluster
driver2,Idle,1,none,none,none,I,0,1
driver2,Break,1,none,none,none,none,0,1
driver2,Break,1,edd,first,split_1,B_T0,1,1
driver2,Driving,1,edd,first,split_1,A,1,1
driver2,Other,1,edd,first,split_1,A,1,1
driver2,Break,1,edd,first,split_1,B_T0,1,1
driver2,Driving,1,edd,first,split_1,A,1,1
driver2,Break,1,edd,first,split_1,B_T2,1,1
driver2,Driving,1,edd,first,split_2,A,1,1
driver2,Other,1,edd,first,split_2,A,1,1
driver2,Break,1,edd,first,split_2,B_T3,1,1
driver2,Driving,1,edd,second,split_1,A,1,1
driver2,Other,1,edd,second,split_1,A,1,1
driver2,Driving,1,edd,second,split_1,A,1,1
driver2,Break,1,edd,second,split_1,B_T0,1,1
driver2,Driving,1,edd,second,split_1,A,1,1
driver2,Other,1,edd,second,split_1,A,1,1
driver2,Driving,1,edd,second,split_1,A,1,1
driver2,Other,1,edd,second,split_1,A,1,1
driver2,Driving,1,edd,second,split_1,A,1,1
driver2,Break,1,edd,second,split_1,B_T2,1,1
driver2,Driving,1,edd,second,split_2,A,1,1
driver2,Other,1,edd,second,split_2,A,1,1
driver2,Driving,1,edd,second,split_2,A,1,1
driver2,Other,1,edd,second,split_2,A,1,1
driver2,Driving,1,edd,second,split_2,A,1,1
driver2,Other,1,edd,second,split_2,A,1,1
driver2,Break,1,edd,second,split_2,B_T0,1,1
driver2,Other,1,edd,second,split_2,A,1,1
driver2,Break,1,edd,second,split_2,B_T0,1,1
driver2,Other,1,edd,second,split_2,A,1,1
driver2,Break,1,edd,second,split_2,B_T0,1,1
driver2,Other,1,edd,second,split_2,A,1,1
driver2,Break,1,edd,second,split_2,B_T0,1,1
driver2,Other,1,edd,second,split_2,A,1,1
driver2,Driving,1,edd,second,split_2,A,1,1
driver2,Other,1,edd,second,split_2,A,1,1
driver2,Driving,1,edd,second,split_2,A,1,1
driver2,Other,1,edd,second,split_2,A,1,1
driver2,Driving,1,edd,second,split_2,A,1,1
driver2,Break,1,edd,second,split_2,B_T3,1,1
driver2,Driving,1,edd,third,uninterrupted,A,1,1
driver2,Other,1,edd,third,uninterrupted,A,1,1
driver2,Driving,1,edd,third,uninterrupted,A,1,1
driver2,Other,1,edd,third,uninterrupted,A,1,1
driver2,Driving,1,edd,third,uninterrupted,A,1,1
driver2,Other,1,edd,third,uninterrupted,A,1,1
driver2,Break,1,edd,third,uninterrupted,DR_T2,1,1
driver2,Driving,2,ndd,first,uninterrupted,A,1,9
driver2,Other,2,ndd,first,uninterrupted,A,1,9
driver2,Driving,2,ndd,first,uninterrupted,A,1,9
driver2,Other,2,ndd,first,uninterrupted,A,1,9
driver2,Break,2,ndd,first,uninterrupted,B_T1,1,9
driver2,Driving,2,ndd,second,split_1,A,1,9
driver2,Break,2,ndd,second,split_1,B_T2,1,9
driver2,Driving,2,ndd,second,split_2,A,1,9
driver2,Break,2,ndd,second,split_2,DR_T3,1,9
driver2,Other,3,ndd,unique,uninterrupted,A,1,2
driver2,Driving,3,ndd,unique,uninterrupted,A,1,2
driver2,Other,3,ndd,unique,uninterrupted,A,1,2
driver2,Driving,3,ndd,unique,uninterrupted,A,1,2
driver2,Other,3,ndd,unique,uninterrupted,A,1,2
driver2,Driving,3,ndd,unique,uninterrupted,A,1,2
driver2,Other,3,ndd,unique,uninterrupted,A,1,2
driver2,Break,3,ndd,unique,uninterrupted,DR_T4,1,2
driver2,Driving,4,ndd,first,split_1,A,1,13
driver2,Other,4,ndd,first,split_1,A,1,13
driver2,Driving,4,ndd,first,split_1,A,1,13
driver2,Break,4,ndd,first,split_1,B_T0,1,13
driver2,Driving,4,ndd,first,split_1,A,1,13
driver2,Break,4,ndd,first,split_1,B_T2,1,13
driver2,Driving,4,ndd,first,split_2,A,1,13
driver2,Other,4,ndd,first,split_2,A,1,13
driver2,Driving,4,ndd,first,split_2,A,1,13
driver2,Other,4,ndd,first,split_2,A,1,13
driver2,Break,4,ndd,first,split_2,B_T3,1,13
driver2,Other,4,ndd,second,split_1,A,1,13
driver2,Driving,4,ndd,second,split_1,A,1,13
driver2,Other,4,ndd,second,split_1,A,1,13
driver2,Driving,4,ndd,second,split_1,A,1,13
driver2,Other,4,ndd,second,split_1,A,1,13
driver2,Driving,4,ndd,second,split_1,A,1,13
driver2,Other,4,ndd,second,split_1,A,1,13
driver2,Break,4,ndd,second,split_1,B_T0,1,13
driver2,Other,4,ndd,second,split_1,A,1,13
driver2,Driving,4,ndd,second,split_1,A,1,13
driver2,Other,4,ndd,second,split_1,A,1,13
driver2,Driving,4,ndd,second,split_1,A,1,13
driver2,Other,4,ndd,second,split_1,A,1,13
driver2,Driving,4,ndd,second,split_1,A,1,13
driver2,Break,4,ndd,second,split_1,B_T2,1,13
driver2,Driving,4,ndd,second,split_2,A,1,13
driver2,Other,4,ndd,second,split_2,A,1,13
driver2,Driving,4,ndd,second,split_2,A,1,13
driver2,Break,4,ndd,second,split_2,B_T0,1,13
driver2,Driving,4,ndd,second,split_2,A,1,13
driver2,Other,4,ndd,second,split_2,A,1,13
driver2,Break,4,ndd,second,split_2,DR_T1,1,13
driver2,Driving,5,none,none,split_1,A,0,13
driver2,Break,5,none,none,split_1,B_T2,0,13
driver2,Driving,5,none,none,split_2,A,0,13
driver2,Break,5,none,none,split_2,B_T3,0,13
driver2,Driving,5,none,none,none,A,0,13
driver2,Break,5,none,none,none,none,0,13
driver2,Driving,5,ndd,first,split_1,A,1,13
driver2,Other,5,ndd,first,split_1,A,1,13
driver2,Driving,5,ndd,first,split_1,A,1,13
driver2,Other,5,ndd,first,split_1,A,1,13
driver2,Driving,5,ndd,first,split_1,A,1,13
driver2,Break,5,ndd,first,split_1,B_T2,1,13
driver2,Driving,5,ndd,first,split_2,A,1,13
driver2,Break,5,ndd,first,split_2,B_T3,1,13
driver2,Other,5,ndd,second,split_1,A,1,13
driver2,Driving,5,ndd,second,split_1,A,1,13
driver2,Other,5,ndd,second,split_1,A,1,13
driver2,Driving,5,ndd,second,split_1,A,1,13
driver2,Other,5,ndd,second,split_1,A,1,13
driver2,Driving,5,ndd,second,split_1,A,1,13
driver2,Break,5,ndd,second,split_1,B_T0,1,13
driver2,Driving,5,ndd,second,split_1,A,1,13
driver2,Other,5,ndd,second,split_1,A,1,13
driver2,Driving,5,ndd,second,split_1,A,1,13
driver2,Other,5,ndd,second,split_1,A,1,13
driver2,Break,5,ndd,second,split_1,B_T0,1,13
driver2,Other,5,ndd,second,split_1,A,1,13
driver2,Break,5,ndd,second,split_1,B_T0,1,13
driver2,Driving,5,ndd,second,split_1,A,1,13
driver2,Other,5,ndd,second,split_1,A,1,13
driver2,Break,5,ndd,second,split_1,B_T0,1,13
driver2,Driving,5,ndd,second,split_1,A,1,13
driver2,Other,5,ndd,second,split_1,A,1,13
driver2,Driving,5,ndd,second,split_1,A,1,13
driver2,Other,5,ndd,second,split_1,A,1,13
driver2,Driving,5,ndd,second,split_1,A,1,13
driver2,Break,5,ndd,second,split_1,B_T2,1,13
driver2,Driving,5,ndd,second,split_2,A,1,13
driver2,Break,5,ndd,second,split_2,DR_T2,1,13
driver2,Driving,6,none,none,uninterrupted,A,0,4
driver2,Break,6,none,none,uninterrupted,B_T1,0,4
driver2,Driving,6,none,none,none,A,0,4
driver2,Other,6,none,none,none,A,0,4
driver2,Break,6,none,none,none,none,0,4
driver2,Other,6,none,none,split_1,A,0,4
driver2,Driving,6,none,none,split_1,A,0,4
driver2,Break,6,none,none,split_1,B_T2,0,4
driver2,Driving,6,none,none,split_2,A,0,4
driver2,Break,6,none,none,split_2,B_T0,0,4
driver2,Idle,6,none,none,split_2,I,0,4
driver2,Driving,6,none,none,split_2,A,0,4
driver2,Break,6,none,none,split_2,B_T3,0,4
driver2,Driving,6,none,none,split_1,A,0,4
driver2,Break,6,none,none,split_1,B_T2,0,4
driver2,Driving,6,none,none,split_2,A,0,4
driver2,Other,6,none,none,split_2,A,0,4
driver2,Break,6,none,none,split_2,B_T0,0,4
driver2,Driving,6,none,none,split_2,A,0,4
driver2,Other,6,none,none,split_2,A,0,4
driver2,Break,6,none,none,split_2,B_T0,0,4
driver2,Driving,6,none,none,split_2,A,0,4
driver2,Other,6,none,none,split_2,A,0,4
driver2,Driving,6,none,none,split_2,A,0,4
driver2,Break,6,none,none,split_2,B_T0,0,4
driver2,Driving,6,none,none,split_2,A,0,4
driver2,Break,6,none,none,split_2,B_T0,0,4
driver2,Driving,6,none,none,split_2,A,0,4
driver2,Other,6,none,none,split_2,A,0,4
driver2,Driving,6,none,none,split_2,A,0,4
driver2,Break,6,none,none,split_2,B_T3,0,4
driver2,Driving,6,none,none,none,A,0,4
driver2,Other,6,none,none,none,A,0,4
driver2,Break,6,none,none,none,none,0,4
