Driver,Activity,Day,DayType,Sequence,BreakType,Token,Legal,Cluster
driver1,Break,1,ndd,first,split_1,B_T0,1,8
driver1,Driving,1,ndd,first,split_1,A,1,8
driver1,Other,1,ndd,first,split_1,A,1,8
driver1,Driving,1,ndd,first,split_1,A,1,8
driver1,Other,1,ndd,first,split_1,A,1,8
driver1,Driving,1,ndd,first,split_1,A,1,8
driver1,Break,1,ndd,first,split_1,B_T0,1,8
driver1,Driving,1,ndd,first,split_1,A,1,8
driver1,Break,1,ndd,first,split_1,B_T2,1,8
driver1,Driving,1,ndd,first,split_2,A,1,8
driver1,Break,1,ndd,first,split_2,B_T3,1,8
driver1,Driving,1,ndd,second,uninterrupted,A,1,8
driver1,Other,1,ndd,second,uninterrupted,A,1,8
driver1,Driving,1,ndd,second,uninterrupted,A,1,8
driver1,Other,1,ndd,second,uninterrupted,A,1,8
driver1,Driving,1,ndd,second,uninterrupted,A,1,8
driver1,Break,1,ndd,second,uninterrupted,DR_T1,1,8
driver1,Driving,2,ndd,unique,uninterrupted,A,1,2
driver1,Other,2,ndd,unique,uninterrupted,A,1,2
driver1,Break,2,ndd,unique,uninterrupted,DR_T1,1,2
driver1,Driving,3,edd,first,split_1,A,1,16
driver1,Break,3,edd,first,split_1,B_T2,1,16
driver1,Driving,3,edd,first,split_2,A,1,16
driver1,Other,3,edd,first,split_2,A,1,16
driver1,Break,3,edd,first,split_2,B_T3,1,16
driver1,Driving,3,edd,second,split_1,A,1,16
driver1,Break,3,edd,second,split_1,B_T2,1,16
driver1,Driving,3,edd,second,split_2,A,1,16
driver1,Break,3,edd,second,split_2,B_T3,1,16
driver1,Driving,3,edd,third,uninterrupted,A,1,16
driver1,Other,3,edd,third,uninterrupted,A,1,16
driver1,Break,3,edd,third,uninterrupted,DR_T2,1,16
driver1,Driving,4,edd,first,split_1,A,1,5
driver1,Break,4,edd,first,split_1,B_T2,1,5
driver1,Driving,4,edd,first,split_2,A,1,5
driver1,Break,4,edd,first,split_2,B_T3,1,5
driver1,Driving,4,edd,second,uninterrupted,A,1,5
driver1,Break,4,edd,second,uninterrupted,B_T1,1,5
driver1,Driving,4,edd,third,split_1,A,1,5
driver1,Break,4,edd,third,split_1,B_T2,1,5
driver1,Driving,4,edd,third,split_2,A,1,5
driver1,Break,4,edd,third,split_2,B_T0,1,5
driver1,Driving,4,edd,third,split_2,A,1,5
driver1,Break,4,edd,third,split_2,B_T0,1,5
driver1,Driving,4,edd,third,split_2,A,1,5
driver1,Break,4,edd,third,split_2,B_T0,1,5
driver1,Driving,4,edd,third,split_2,A,1,5
driver1,Break,4,edd,third,split_2,DR_T1,1,5
driver1,Driving,5,ndd,first,split_1,A,1,17
driver1,Other,5,ndd,first,split_1,A,1,17
driver1,Break,5,ndd,first,split_1,B_T2,1,17
driver1,Driving,5,ndd,first,split_2,A,1,17
driver1,Break,5,ndd,first,split_2,B_T0,1,17
driver1,Other,5,ndd,first,split_2,A,1,17
driver1,Driving,5,ndd,first,split_2,A,1,17
driver1,Break,5,ndd,first,split_2,B_T3,1,17
driver1,Driving,5,ndd,second,uninterrupted,A,1,17
driver1,Break,5,ndd,second,uninterrupted,DR_T2,1,17
driver1,Driving,6,ndd,first,uninterrupted,A,1,20
driver1,Break,6,ndd,first,uninterrupted,B_T1,1,20
driver1,Driving,6,ndd,second,split_1,A,1,20
driver1,Break,6,ndd,second,split_1,B_T2,1,20
driver1,Driving,6,ndd,second,split_2,A,1,20
driver1,Break,6,ndd,second,split_2,B_T0,1,20
driver1,Driving,6,ndd,second,split_2,A,1,20
driver1,Break,6,ndd,second,split_2,DR_T1,1,20
driver1,Driving,7,ndd,first,split_1,A,1,8
driver1,Break,7,ndd,first,split_1,B_T2,1,8
driver1,Driving,7,ndd,first,split_2,A,1,8
driver1,Break,7,ndd,first,split_2,B_T3,1,8
driver1,Driving,7,ndd,second,uninterrupted,A,1,8
driver1,Other,7,ndd,second,uninterrupted,A,1,8
driver1,Break,7,ndd,second,uninterrupted,B_T0,1,8
driver1,Driving,7,ndd,second,uninterrupted,A,1,8
driver1,Other,7,ndd,second,uninterrupted,A,1,8
