Driver,Duration,Activity,Day,DayType,Sequence,BreakType,Token,Legal,Cluster
driver4,30,Driving,1,ndd,first,split_1,A,Yes,12
driver4,9,Break,1,ndd,first,split_1,B_T0,Yes,12
driver4,2,Driving,1,ndd,first,split_1,A,Yes,12
driver4,67,Break,1,ndd,first,split_1,B_T2,Yes,12
driver4,2,Other,1,ndd,first,split_2,A,Yes,12
driver4,1,Driving,1,ndd,first,split_2,A,Yes,12
driver4,8,Other,1,ndd,first,split_2,A,Yes,12
driver4,121,Break,1,ndd,first,split_2,B_T3,Yes,12
driver4,8,Other,1,ndd,second,split_1,A,Yes,12
driver4,226,Driving,1,ndd,second,split_1,A,Yes,12
driver4,51,Break,1,ndd,second,split_1,B_T2,Yes,12
driver4,156,Driving,1,ndd,second,split_2,A,Yes,12
driver4,2,Other,1,ndd,second,split_2,A,Yes,12
driver4,5,Driving,1,ndd,second,split_2,A,Yes,12
driver4,196,Break,1,ndd,second,split_2,DR_T3,Yes,12
driver4,6,Other,2,ndd,unique,split_1,A,Yes,10
driver4,2,Driving,2,ndd,unique,split_1,A,Yes,10
driver4,10,Other,2,ndd,unique,split_1,A,Yes,10
driver4,30,Break,2,ndd,unique,split_1,B_T2,Yes,10
driver4,1,Other,2,ndd,unique,split_2,A,Yes,10
driver4,1,Driving,2,ndd,unique,split_2,A,Yes,10
driver4,3,Other,2,ndd,unique,split_2,A,Yes,10
driver4,579,Break,2,ndd,unique,split_2,DR_T4,Yes,10
driver4,184,Driving,3,ndd,unique,uninterrupted,A,Yes,2
driver4,6,Break,3,ndd,unique,uninterrupted,B_T0,Yes,2
driver4,2,Driving,3,ndd,unique,uninterrupted,A,Yes,2
driver4,4,Other,3,ndd,unique,uninterrupted,A,Yes,2
driver4,2,Driving,3,ndd,unique,uninterrupted,A,Yes,2
driver4,870,Break,3,ndd,unique,uninterrupted,DR_T1,Yes,2
driver4,1,Driving,4,ndd,first,split_1,A,Yes,17
driver4,12,Other,4,ndd,first,split_1,A,Yes,17
driver4,14,Break,4,ndd,first,split_1,B_T0,Yes,17
driver4,13,Driving,4,ndd,first,split_1,A,Yes,17
driver4,1,Other,4,ndd,first,split_1,A,Yes,17
driver4,15,Break,4,ndd,first,split_1,B_T2,Yes,17
driver4,11,Other,4,ndd,first,split_2,A,Yes,17
driver4,6,Driving,4,ndd,first,split_2,A,Yes,17
driver4,12,Other,4,ndd,first,split_2,A,Yes,17
driver4,4,Driving,4,ndd,first,split_2,A,Yes,17
driver4,2,Other,4,ndd,first,split_2,A,Yes,17
driver4,3,Driving,4,ndd,first,split_2,A,Yes,17
driver4,143,Break,4,ndd,first,split_2,B_T3,Yes,17
driver4,3,Driving,4,ndd,second,uninterrupted,A,Yes,17
driver4,8,Other,4,ndd,second,uninterrupted,A,Yes,17
driver4,221,Break,4,ndd,second,uninterrupted,DR_T3,Yes,17
driver4,3,Other,5,ndd,first,uninterrupted,A,Yes,3
driver4,8,Driving,5,ndd,first,uninterrupted,A,Yes,3
driver4,174,Break,5,ndd,first,uninterrupted,B_T1,Yes,3
driver4,10,Driving,5,ndd,second,uninterrupted,A,Yes,3
driver4,5,Other,5,ndd,second,uninterrupted,A,Yes,3
driver4,3,Break,5,ndd,second,uninterrupted,B_T0,Yes,3
driver4,3,Driving,5,ndd,second,uninterrupted,A,Yes,3
driver4,2,Other,5,ndd,second,uninterrupted,A,Yes,3
driver4,618,Break,5,ndd,second,uninterrupted,DR_T4,Yes,3
driver4,2,Other,6,none,none,none,A,No,12
driver4,44,Driving,6,none,none,none,A,No,12
driver4,19,Break,6,none,none,none,none,No,12
driver4,157,Driving,6,ndd,first,split_1,A,Yes,12
driver4,26,Break,6,ndd,first,split_1,B_T2,Yes,12
driver4,1,Driving,6,ndd,first,split_2,A,Yes,12
driver4,56,Break,6,ndd,first,split_2,B_T3,Yes,12
driver4,162,Driving,6,ndd,second,split_1,A,Yes,12
driver4,49,Break,6,ndd,second,split_1,B_T2,Yes,12
driver4,194,Driving,6,ndd,second,split_2,A,Yes,12
driver4,2,Other,6,ndd,second,split_2,A,Yes,12
driver4,724,Break,6,ndd,second,split_2,DR_T1,Yes,12
driver4,147,Driving,7,edd,first,uninterrupted,A,Yes,1
driver4,64,Break,7,edd,first,uninterrupted,B_T1,Yes,1
driver4,1,Other,7,edd,second,split_1,A,Yes,1
driver4,129,Driving,7,edd,second,split_1,A,Yes,1
driver4,26,Break,7,edd,second,split_1,B_T2,Yes,1
driver4,75,Driving,7,edd,second,split_2,A,Yes,1
driver4,75,Break,7,edd,second,split_2,B_T3,Yes,1
driver4,114,Driving,7,edd,third,uninterrupted,A,Yes,1
driver4,588,Break,7,edd,third,uninterrupted,DR_T2,Yes,1
driver4,1,Other,8,ndd,first,split_1,A,Yes,6
driver4,184,Driving,8,ndd,first,split_1,A,Yes,6
driver4,20,Break,8,ndd,first,split_1,B_T2,Yes,6
driver4,58,Driving,8,ndd,first,split_2,A,Yes,6
driver4,33,Break,8,ndd,first,split_2,B_T3,Yes,6
driver4,226,Driving,8,ndd,second,split_1,A,Yes,6
driver4,5,Break,8,ndd,second,split_1,B_T0,Yes,6
driver4,2,Driving,8,ndd,second,split_1,A,Yes,6
driver4,152,Break,8,ndd,second,split_1,B_T2,Yes,6
driver4,5,Other,8,ndd,second,split_2,A,Yes,6
driver4,4,Driving,8,ndd,second,split_2,A,Yes,6
driver4,406,Break,8,ndd,second,split_2,DR_T3,Yes,6
driver4,2,Driving,9,ndd,unique,uninterrupted,A,Yes,2
driver4,2,Other,9,ndd,unique,uninterrupted,A,Yes,2
driver4,3,Driving,9,ndd,unique,uninterrupted,A,Yes,2
driver4,737,Break,9,ndd,unique,uninterrupted,DR_T4,Yes,2
driver4,172,Driving,10,ndd,unique,uninterrupted,A,Yes,2
driver4,8,Other,10,ndd,unique,uninterrupted,A,Yes,2
driver4,3,Driving,10,ndd,unique,uninterrupted,A,Yes,2
driver4,3,Other,10,ndd,unique,uninterrupted,A,Yes,2
driver4,1,Driving,10,ndd,unique,uninterrupted,A,Yes,2
driver4,6,Other,10,ndd,unique,uninterrupted,A,Yes,2
driver4,17,Driving,10,ndd,unique,uninterrupted,A,Yes,2
driver4,4,Other,10,ndd,unique,uninterrupted,A,Yes,2
driver4,7,Break,10,ndd,unique,uninterrupted,B_T0,Yes,2
driver4,3,Driving,10,ndd,unique,uninterrupted,A,Yes,2
driver4,2951,Break,10,ndd,unique,uninterrupted,WR_T1,Yes,2
driver4,17,Driving,11,ndd,first,uninterrupted,A,Yes,9
driver4,12,Other,11,ndd,first,uninterrupted,A,Yes,9
driver4,2,Driving,11,ndd,first,uninterrupted,A,Yes,9
driver4,3,Other,11,ndd,first,uninterrupted,A,Yes,9
driver4,168,Break,11,ndd,first,uninterrupted,B_T1,Yes,9
driver4,1,Driving,11,ndd,second,split_1,A,Yes,9
driver4,3,Other,11,ndd,second,split_1,A,Yes,9
driver4,2,Driving,11,ndd,second,split_1,A,Yes,9
driver4,120,Break,11,ndd,second,split_1,B_T2,Yes,9
driver4,48,Driving,11,ndd,second,split_2,A,Yes,9
driver4,724,Break,11,ndd,second,split_2,DR_T1,Yes,9
driver4,4,Other,12,ndd,unique,uninterrupted,A,Yes,2
driver4,1918,Break,12,ndd,unique,uninterrupted,WR_T2,Yes,2
driver4,183,Driving,13,ndd,first,uninterrupted,A,Yes,14
driver4,13,Break,13,ndd,first,uninterrupted,B_T0,Yes,14
driver4,5,Driving,13,ndd,first,uninterrupted,A,Yes,14
driver4,8,Other,13,ndd,first,uninterrupted,A,Yes,14
driver4,52,Break,13,ndd,first,uninterrupted,B_T1,Yes,14
driver4,4,Other,13,ndd,second,split_1,A,Yes,14
driver4,1,Driving,13,ndd,second,split_1,A,Yes,14
driver4,7,Other,13,ndd,second,split_1,A,Yes,14
driver4,122,Driving,13,ndd,second,split_1,A,Yes,14
driver4,3,Other,13,ndd,second,split_1,A,Yes,14
driver4,46,Break,13,ndd,second,split_1,B_T2,Yes,14
driver4,225,Driving,13,ndd,second,split_2,A,Yes,14
driver4,556,Break,13,ndd,second,split_2,DR_T2,Yes,14
driver4,223,Driving,14,ndd,first,uninterrupted,A,Yes,3
driver4,46,Break,14,ndd,first,uninterrupted,B_T1,Yes,3
driver4,157,Driving,14,ndd,second,uninterrupted,A,Yes,3
driver4,1,Other,14,ndd,second,uninterrupted,A,Yes,3
driver4,561,Break,14,ndd,second,uninterrupted,DR_T2,Yes,3
driver4,114,Driving,15,edd,first,split_1,A,Yes,5
driver4,42,Break,15,edd,first,split_1,B_T2,Yes,5
driver4,102,Driving,15,edd,first,split_2,A,Yes,5
driver4,30,Break,15,edd,first,split_2,B_T3,Yes,5
driver4,258,Driving,15,edd,second,uninterrupted,A,Yes,5
driver4,46,Break,15,edd,second,uninterrupted,B_T1,Yes,5
driver4,2,Driving,15,edd,third,split_1,A,Yes,5
driver4,1,Other,15,edd,third,split_1,A,Yes,5
driver4,8,Break,15,edd,third,split_1,B_T0,Yes,5
driver4,1,Driving,15,edd,third,split_1,A,Yes,5
driver4,2,Other,15,edd,third,split_1,A,Yes,5
driver4,2,Driving,15,edd,third,split_1,A,Yes,5
driver4,139,Break,15,edd,third,split_1,B_T2,Yes,5
driver4,2,Other,15,edd,third,split_2,A,Yes,5
driver4,7,Driving,15,edd,third,split_2,A,Yes,5
driver4,11,Other,15,edd,third,split_2,A,Yes,5
driver4,4825,Break,15,edd,third,split_2,WR_T1,Yes,5
